track_seg_point_id,ele,time,X,Y,Z
91,2083.01,2018/08/02 18:12:42,6.1019,44.95667,2083.01
92,2073.033,2018/08/02 18:14:42,6.10174,44.9568,2073.033
93,2094.093,2018/08/02 18:17:42,6.10167,44.95641,2094.093
94,2092.072,2018/08/02 18:21:42,6.10132,44.95667,2092.072
95,2097.057,2018/08/02 18:23:42,6.10117,44.95661,2097.057
96,2111.028,2018/08/02 18:25:42,6.10129,44.95614,2111.028
97,2113.089,2018/08/02 18:26:42,6.10146,44.956,2113.089
98,2127.017,2018/08/02 18:29:42,6.10123,44.9557,2127.017
99,2117.008,2018/08/02 18:31:42,6.10088,44.95615,2117.008
100,2133.074,2018/08/02 18:35:42,6.09991,44.95602,2133.074
101,2133.059,2018/08/02 18:37:42,6.09899,44.95613,2133.059
102,2145.083,2018/08/02 18:42:42,6.09832,44.95536,2145.083
103,2144.088,2018/08/02 18:43:42,6.09822,44.95504,2144.088
104,2145.041,2018/08/02 18:44:42,6.09758,44.95452,2145.041
105,2136.041,2018/08/02 18:46:42,6.09767,44.95347,2136.041
106,2126.05,2018/08/02 18:47:42,6.09732,44.95324,2126.05
107,2120.065,2018/08/02 18:49:42,6.09725,44.95297,2120.065
108,2109.076,2018/08/02 18:50:42,6.0964,44.95213,2109.076
109,2109.09,2018/08/02 18:54:42,6.09586,44.9518,2109.09
110,2106.019,2018/08/02 18:56:42,6.09566,44.95132,2106.019
111,2106.008,2018/08/02 18:59:42,6.09512,44.95109,2106.008
112,2105.049,2018/08/02 19:03:42,6.0952,44.95092,2105.049
113,2106.034,2018/08/02 19:04:42,6.09491,44.95071,2106.034
114,2119.088,2018/08/02 19:06:42,6.09387,44.95073,2119.088
115,2122.063,2018/08/02 19:10:42,6.0931,44.95132,2122.063
116,2145.036,2018/08/02 19:15:42,6.0918,44.95133,2145.036
117,2194.056,2018/08/02 19:24:42,6.09026,44.95198,2194.056
118,2188.095,2018/08/02 19:25:42,6.08973,44.95251,2188.095
119,2199.01,2018/08/02 19:26:42,6.08971,44.95237,2199.01
120,2206.055,2018/08/02 19:30:42,6.08872,44.95318,2206.055
121,2219.007,2018/08/02 19:35:42,6.08865,44.95295,2219.007
122,2233.017,2018/08/02 19:42:42,6.08823,44.95308,2233.017
123,2247.008,2018/08/02 19:51:42,6.08813,44.95285,2247.008
124,2255.027,2018/08/02 19:52:42,6.08789,44.95292,2255.027
125,2255.062,2018/08/02 19:53:42,6.08798,44.95283,2255.062
126,2262.056,2018/08/02 19:55:42,6.08788,44.95278,2262.056
127,2306.091,2018/08/02 20:01:42,6.0867,44.95309,2306.091
128,2300.094,2018/08/02 20:04:42,6.08637,44.95336,2300.094
129,2292.034,2018/08/02 20:06:42,6.08626,44.95372,2292.034
130,2325.013,2018/08/02 20:20:42,6.0853,44.9545,2325.013
131,2330.048,2018/08/02 20:22:42,6.08519,44.95425,2330.048
132,2334.097,2018/08/02 20:24:42,6.08512,44.95446,2334.097
133,2350.023,2018/08/02 20:34:42,6.0848,44.95444,2350.023
134,2355.025,2018/08/02 20:35:42,6.0847,44.95456,2355.025
135,2357.008,2018/08/02 20:37:42,6.08464,44.95442,2357.008
136,2362.071,2018/08/02 20:38:42,6.08456,44.95459,2362.071
137,2367.096,2018/08/02 20:39:42,6.08442,44.95439,2367.096
138,2371.06,2018/08/02 20:40:42,6.08437,44.95462,2371.06
139,2380.075,2018/08/02 20:41:42,6.08413,44.95439,2380.075
140,2382.058,2018/08/02 20:42:42,6.08415,44.95466,2382.058
141,2405.088,2018/08/02 20:49:42,6.0835,44.95442,2405.088
142,2410.037,2018/08/02 20:50:42,6.08358,44.95473,2410.037
143,2423.072,2018/08/02 20:51:42,6.08318,44.9545,2423.072
144,2435.051,2018/08/02 20:53:42,6.0832,44.95485,2435.051
145,2448.001,2018/08/02 20:54:42,6.08272,44.95447,2448.001
146,2465.011,2018/08/02 20:56:42,6.08279,44.95494,2465.011
147,2473.008,2018/08/02 20:59:42,6.08262,44.95488,2473.008
148,2482.017,2018/08/02 21:02:42,6.08257,44.95499,2482.017
149,2480.062,2018/08/02 21:03:42,6.08245,44.9548,2480.062
150,2491.046,2018/08/02 21:06:42,6.08237,44.95493,2491.046
151,2490.021,2018/08/02 21:07:42,6.08224,44.95473,2490.021
152,2515.054,2018/08/02 21:12:42,6.08202,44.95501,2515.054
153,2517.034,2018/08/02 21:16:42,6.0813,44.95427,2517.034
154,2522.033,2018/08/02 21:17:42,6.08125,44.95448,2522.033
155,2522.078,2018/08/02 21:18:42,6.08103,44.95437,2522.078
156,2525.055,2018/08/02 21:19:42,6.08077,44.95453,2525.055
157,2523.007,2018/08/02 21:21:42,6.08055,44.95482,2523.007
158,2512.017,2018/08/02 21:23:42,6.08039,44.9555,2512.017
159,2492.008,2018/08/02 21:27:42,6.0804,44.95634,2492.008
160,2460.017,2018/08/02 21:34:42,6.08116,44.95793,2460.017
161,2453.092,2018/08/02 21:37:42,6.08094,44.95787,2453.092
