WKT,ID,NATURE
"LINESTRING (937146.9 6455582.5,937155.5 6455572.5,937165.1 6455560.7,937173.8 6455551.9,937184.9 6455541.6,937189.0 6455536.7,937192.8 6455527.5,937194.1 6455521.8,937198.9 6455515.9,937206.2 6455508.3,937215.0 6455498.5,937220.0 6455489.4,937222.1 6455486.8,937228.2 6455479.1,937236.0 6455475.7,937243.4 6455472.9,937255.3 6455470.2,937263.7 6455467.4,937275.5 6455459.3,937283.5 6455450.5,937289.1 6455448.1,937300.8 6455441.5,937310.3 6455434.4,937313.3 6455432.6,937324.1 6455430.2,937335.0 6455420.8,937346.5 6455408.1,937354.7 6455398.7,937362.9 6455386.1,937368.4 6455379.1,937370.4 6455372.2,937375.0 6455365.9,937379.6 6455360.2,937385.2 6455348.2,937391.7 6455335.5,937397.3 6455329.2,937404.8 6455325.7,937412.9 6455321.0,937413.8 6455317.5,937423.5 6455309.0,937436.7 6455299.0,937447.2 6455289.7,937461.0 6455278.9,937475.5 6455266.3,937486.3 6455258.0,937497.6 6455243.4,937509.3 6455228.8,937519.8 6455220.7,937531.8 6455207.5,937538.6 6455198.7,937547.5 6455184.0,937557.0 6455168.3,937562.9 6455160.7,937566.3 6455150.1,937570.8 6455138.6,937573.3 6455131.4,937580.4 6455123.6,937590.5 6455112.8,937596.0 6455103.3,937598.1 6455100.6,937608.8 6455092.5,937617.0 6455083.4,937623.2 6455073.2,937630.9 6455058.9,937640.2 6455042.1,937649.5 6455025.4,937653.1 6455013.5,937653.8 6455005.4,937654.7 6454996.1,937656.6 6454985.1,937660.3 6454967.7,937662.1 6454936.9,937662.8 6454918.9,937661.1 6454914.7,937660.6 6454906.1)",TRONROUT0000000008044474,Sentier
"LINESTRING (938137.2 6454824.6,938135.9 6454833.2,938132.8 6454849.9,938129.2 6454867.2,938123.7 6454883.4,938119.4 6454893.3,938116.5 6454904.5)",TRONROUT0000000008047137,Sentier
"LINESTRING (937660.6 6454906.1,937663.1 6454895.4,937667.1 6454885.5,937675.1 6454875.2,937679.4 6454870.0,937685.1 6454868.4,937692.0 6454863.2,937700.4 6454861.7,937709.1 6454856.4,937715.2 6454853.5,937719.9 6454852.3,937726.5 6454854.4)",TRONROUT0000000008047135,Sentier
"LINESTRING (938186.8 6454609.3,938184.3 6454619.6,938181.3 6454635.3)",TRONROUT0000000008047138,Sentier
"LINESTRING (938202.4 6454260.0,938203.9 6454274.2,938203.9 6454285.6,938203.6 6454299.2,938203.3 6454312.1,938205.4 6454339.5,938207.9 6454352.0,938209.7 6454366.1,938210.1 6454382.9,938210.2 6454407.3,938209.4 6454433.4,938207.7 6454451.7,938205.7 6454460.9,938200.7 6454479.2,938200.0 6454487.3,938199.7 6454495.3,938199.6 6454508.6,938199.8 6454522.6,938200.5 6454539.7,938198.8 6454556.7,938195.4 6454575.5,938191.4 6454590.6)",TRONROUT0000000008047136,Sentier
"LINESTRING (936978.3 6453816.1,936974.7 6453812.5,936969.2 6453812.3,936964.2 6453812.4,936960.1 6453811.3,936951.3 6453808.3,936941.7 6453804.4,936932.6 6453799.0,936924.7 6453794.8,936920.6 6453791.2,936915.5 6453790.2,936906.8 6453788.8,936898.1 6453785.0,936890.3 6453779.5,936886.3 6453775.5,936884.7 6453772.8,936882.9 6453771.7,936879.5 6453772.4,936875.4 6453774.4,936871.3 6453774.0,936865.1 6453773.6,936859.7 6453772.6,936854.6 6453772.3,936851.9 6453773.6,936849.0 6453774.8,936843.9 6453777.3,936841.2 6453779.1,936838.7 6453779.7,936835.7 6453779.7,936833.0 6453778.7,936830.3 6453777.3,936827.4 6453773.4,936824.9 6453765.1,936822.9 6453759.1,936820.9 6453754.5,936818.6 6453752.5,936815.3 6453745.9,936812.8 6453742.6,936810.0 6453740.6,936808.1 6453740.2,936804.9 6453737.8,936800.3 6453737.4,936797 6453735,936796.5 6453728.4,936794.4 6453720.7,936791.3 6453714.8,936789.2 6453705.6,936787.1 6453700.0,936783.4 6453696.4,936777.2 6453693.1,936772.7 6453688.6,936770.2 6453681.8,936769.8 6453675.4,936772.6 6453668.6,936773.7 6453659.6,936773.6 6453655.3,936772.9 6453649.8,936772.2 6453647.0,936770.8 6453644.0,936771.9 6453641.2,936773.9 6453638.4,936779.2 6453629.0,936788.8 6453612.4,936793.2 6453603.7,936796.6 6453594.6,936798.3 6453588.4,936797.9 6453583.9,936796.1 6453571.8,936795.2 6453563.3,936795.6 6453551.7,936796.5 6453543.7,936796.2 6453538.4,936794.7 6453531.7,936792.6 6453524.8,936792.0 6453514.6,936790.6 6453508.0,936789.6 6453502.7,936788.5 6453496.3,936787.4 6453489.7,936785.3 6453482.8,936777.6 6453471.9,936771.4 6453463.4,936765.4 6453460.3,936760.7 6453457.0,936757.7 6453453.5,936755.7 6453450.8,936752.4 6453446.5,936749.2 6453440.2,936745.2 6453434.2,936741.4 6453431.9,936736.2 6453429.1,936729.6 6453424.4,936727.2 6453420.0,936725.7 6453417.2,936722.8 6453414.3,936720.3 6453411.2,936718.5 6453407.3,936716.2 6453401.1,936711.5 6453394.0,936706.6 6453389.2,936700.6 6453385.3,936697.8 6453383.3,936694.7 6453382.0,936691.4 6453381.3,936680.8 6453380.5,936670.3 6453378.4,936661.3 6453376.1,936651.3 6453371.0,936643.2 6453365.7,936638.4 6453362.0,936635.2 6453358.6,936630.6 6453355.6,936627.0 6453353.2,936620.7 6453349.6,936614.2 6453346.6,936607.3 6453344.1,936596.4 6453339.1,936583.0 6453333.5,936570.9 6453329.0,936560.6 6453327.1,936554.6 6453324.8,936542.3 6453324.3,936536.8 6453323.6)",TRONROUT0000000008049866,Sentier
"LINESTRING (933528.0 6453528.7,933528.5 6453520.3,933529.9 6453515.8,933533.8 6453511.2,933538.6 6453505.5,933540.6 6453496.4,933544.1 6453483.3,933542.6 6453472.8,933538.5 6453459.0,933536.9 6453450.8,933536.8 6453442.9,933540.0 6453430.1,933542.3 6453414.3,933542.6 6453400.6,933541.8 6453391.7,933539.8 6453387.1,933539.6 6453382.2,933540.2 6453373.7,933542.2 6453365.3,933545.7 6453357.5,933552.7 6453351.7,933559.3 6453348.7,933564.3 6453344.2,933569.3 6453336.1,933576.4 6453330.6,933585.2 6453323.0,933593.7 6453314.4)",TRONROUT0000000008049867,Sentier
"LINESTRING (936410.2 6452877.6,936419.8 6452884.9,936425.4 6452890.0,936429.7 6452898.9,936431.6 6452901.6,936435.0 6452903.1,936439.6 6452902.1,936447.8 6452899.9,936460.0 6452897.2,936466.6 6452897.7,936472.2 6452896.8,936477.3 6452893.7,936484.1 6452891.0,936492.5 6452889.0,936499 6452888,936506.0 6452887.2,936509.1 6452888.4,936512.7 6452887.7,936514.8 6452888.7,936518.2 6452890.0,936521.4 6452889.8,936526.3 6452888.0,936532.1 6452888.1)",TRONROUT0000000008052417,Sentier
"LINESTRING (935850.9 6452882.4,935855.4 6452881.8,935861.3 6452880.8,935869.3 6452878.4,935879.4 6452873.5,935883.2 6452870.8,935886.5 6452868.3,935891.2 6452861.1,935895.2 6452856.3,935903.4 6452850.9,935908.5 6452846.4,935912.0 6452845.3,935917.0 6452845.7,935922.8 6452845.8,935927.5 6452843.9,935931.9 6452842.8,935939.0 6452844.2,935944.8 6452847.2,935948.1 6452848.8,935953.1 6452851.3,935955.9 6452853.0,935959.3 6452853.7,935964.1 6452856.4,935967.5 6452859.3,935972.8 6452861.6,935975.0 6452860.6,935979.4 6452857.0,935983.7 6452851.3,935992.4 6452843.6,935999.1 6452839.5,936001.8 6452836.3,936004.6 6452834.7,936011.5 6452834.6,936018.1 6452836.1,936029.7 6452837.0,936037.0 6452837.6,936043.3 6452838.7,936049.3 6452839.9,936054.7 6452840.6,936059.3 6452842.7,936061.8 6452843.6,936066.0 6452842.4,936075.7 6452836.7,936087.0 6452828.3,936094.6 6452825.2,936096 6452827,936102.8 6452833.9,936109.1 6452837.1,936116.7 6452837.6,936124.9 6452839.2,936132.6 6452841.9,936140.1 6452844.6,936146.2 6452847.6,936151.3 6452851.0,936158.0 6452853.5)",TRONROUT0000000008052419,Sentier
"LINESTRING (933579.4 6453187.8,933584.1 6453172.5,933591.4 6453156.6,933600.9 6453143.0,933604.7 6453136.9,933606.0 6453133.3,933605.5 6453130.9,933601.9 6453130.2,933590.2 6453132.5,933560.7 6453140.5,933556.7 6453141.5,933555.7 6453139.1,933558.3 6453132.7,933567.7 6453114.3,933578.0 6453100.2,933589.7 6453088.3,933597.7 6453080.4,933601.1 6453076.2)",TRONROUT0000000008052421,Sentier
"LINESTRING (936902.9 6452107.3,936893.7 6452102.1,936886.9 6452103.7,936881.4 6452109.8,936877.6 6452113.6,936873.8 6452114.8,936869.7 6452119.5,936866.9 6452124.0,936858.3 6452129.3,936848.7 6452132.6,936838.1 6452137.7,936831.2 6452145.5,936823.1 6452152.6,936812.6 6452157.0,936797.7 6452165.4,936771.7 6452181.5,936761.8 6452187.0,936744.9 6452195.0,936735.5 6452202.6,936725.7 6452211.8,936715.6 6452220.4,936708.7 6452226.0,936697.4 6452235.5,936687.7 6452240.7,936679.5 6452245.3,936670.9 6452246.4,936662.6 6452245.7,936653.6 6452246.6,936645.8 6452248.3,936635.7 6452252.5,936630.8 6452255.1,936628 6452259,936624.9 6452265.7,936623.8 6452274.7,936622.2 6452282.0,936618.7 6452289.7,936614.6 6452291.5,936609.8 6452290.8,936603.8 6452287.0,936595.0 6452280.3,936589.6 6452277.4,936578.7 6452276.8,936565.1 6452280.6,936547.8 6452283.5,936530.9 6452288.1,936523.1 6452289.1,936514.8 6452288.6,936503.3 6452291.8,936496.1 6452292.4,936490.3 6452290.4,936483.3 6452287.4,936475.0 6452286.4,936464.9 6452285.7,936455.5 6452284.9,936450.2 6452285.3,936444.0 6452279.4,936435.1 6452268.1,936430.3 6452263.8,936426.3 6452260.6,936421.9 6452257.3,936414.8 6452253.6,936406.7 6452250.8,936399.3 6452248.8,936388.1 6452245.7,936374.0 6452241.8,936364.3 6452238.9,936358.0 6452237.2,936347.6 6452236.4,936339.2 6452235.6,936330.5 6452236.2,936321.8 6452235.6,936315.4 6452232.8,936308.8 6452230.8,936302.2 6452228.9,936294.8 6452225.8,936283.9 6452222.9,936274.7 6452220.9,936257.8 6452219.5,936252.5 6452217.1,936247.3 6452214.0,936242.2 6452212.3,936236.7 6452211.9,936228.8 6452212.2,936221.1 6452211.2,936213.9 6452209.3,936210.7 6452207.0,936206.7 6452200.6,936202.9 6452196.7,936197.2 6452191.5,936190.7 6452187.9,936182.8 6452183.8,936175.6 6452179.4,936165.9 6452174.3,936156.6 6452171.3,936146.6 6452169.2,936138.4 6452165.9,936130.6 6452164.4,936119.5 6452163.5,936111.9 6452163.1,936101.1 6452163.1,936093.8 6452163.6,936087.6 6452165.4,936077.4 6452164.6,936068.0 6452154.3,936052.4 6452140.1,936047.8 6452135.3,936041.3 6452130.1,936035.5 6452128.3,936028.3 6452124.8,936023.0 6452122.4,936017.6 6452120.0,936010.6 6452119.0,936004.0 6452119.8,935997.9 6452121.3,935993.1 6452123.0,935988.1 6452124.7,935982.3 6452125.4,935975.6 6452126.1,935968.5 6452126.6,935960.8 6452126.1,935953.4 6452123.5)",TRONROUT0000000008054886,Sentier
"LINESTRING (935203.7 6452041.0,935215.8 6452044.8,935235.7 6452052.9,935248.3 6452057.3,935256.4 6452061.4,935261.1 6452065.3,935265.3 6452069.6,935271.6 6452074.5,935276.8 6452078.9,935281.7 6452080.8,935286.8 6452083.9,935295.1 6452085.0,935306 6452084,935316.6 6452083.0,935321.4 6452080.7,935332.0 6452079.7,935338.4 6452077.8,935351.0 6452071.6,935355.5 6452069.7,935368.0 6452064.1,935379.2 6452060.6,935390.5 6452055.8)",TRONROUT0000000008054890,Sentier
