id,timestamp,xraw,yraw,xmap_matched,ymap_matched,link_id,node_id
1,2015-10-12 17:48:58,414200.186452707,3985503.63318631,414198.6982641212,3985505.282160621,2801,-1
2,2015-10-12 17:48:59,414217.206955811,3985520.88152833,414216.6575466956,3985521.490296282,2801,-1
3,2015-10-12 17:49:00,414235.567196187,3985536.89676859,414234.74186186545,3985537.811273047,2801,-1
4,2015-10-12 17:49:01,414253.574477629,3985553.69190337,414253.01955915615,3985554.3067759173,2801,-1
5,2015-10-12 17:49:02,414271.394993017,3985569.82338534,414270.8642386591,3985570.4114830517,2801,-1
6,2015-10-12 17:49:03,414289.038456799,3985586.28937691,414288.77772031625,3985586.578283683,2801,-1
7,2015-10-12 17:49:04,414307.946647188,3985603.07585525,414307.5476189137,3985603.5179950297,2801,-1
8,2015-10-12 17:49:05,414328.008955019,3985618.07647044,414326.06531921064,3985620.2300990517,2801,-1
9,2015-10-12 17:49:06,414347.457667614,3985634.85777512,414345.61623444664,3985637.0837364756,2801,-1
10,2015-10-12 17:49:07,414366.82158457,3985652.19453297,414365.6274267181,3985653.6380549385,2801,-1
11,2015-10-12 17:49:08,414386.094237046,3985669.42130107,414385.5304145788,3985670.1028609797,2801,-1
12,2015-10-12 17:49:09,414406.527474334,3985685.52766021,414405.57216428063,3985686.6824581684,2801,-1
13,2015-10-12 17:49:10,414427.409033022,3985701.40787603,414425.76901479455,3985703.3903629654,2801,-1
14,2015-10-12 17:49:11,414447.938690871,3985718.17889673,414446.1944524348,3985720.2873671446,2801,-1
15,2015-10-12 17:49:12,414469.19345512,3985735.38659484,414467.7464345888,3985737.290692489,2801,-1
16,2015-10-12 17:49:13,414489.724029824,3985752.26861822,414488.89353353303,3985753.3614472444,2801,-1
17,2015-10-12 17:49:14,414510.970020644,3985768.58915882,414510.22365131264,3985769.5712873098,2801,-1
18,2015-10-12 17:49:15,414531.946680174,3985785.02327911,414531.4377542662,3985785.6929618157,2801,-1
19,2015-10-12 17:49:16,414553.280470705,3985801.12123178,414552.71630002436,3985801.8636096823,2801,-1
20,2015-10-12 17:49:17,414574.710743467,3985817.88380396,414574.37617747363,3985818.3240508726,2801,-1
21,2015-10-12 17:49:18,414596.677286622,3985834.19755849,414596.6017559164,3985834.304282409,2801,-1
22,2015-10-12 17:49:19,414618.187830947,3985849.96119762,414618.3670198808,3985849.7080059526,2801,-1
23,2015-10-12 17:49:20,414639.783033574,3985865.16948009,414639.9268167899,3985864.9663162488,2801,-1
24,2015-10-12 17:49:21,414661.385680553,3985881.15416409,414661.8576786545,3985880.487236821,2801,-1
25,2015-10-12 17:49:22,414682.530190162,3985896.36691354,414683.11929374305,3985895.534517729,2801,-1
26,2015-10-12 17:49:23,414703.575928446,3985910.69332875,414703.8971567036,3985910.2394373384,2801,-1
27,2015-10-12 17:49:24,414724.708484997,3985924.68620012,414724.89909393847,3985924.394432253,2801,-1
28,2015-10-12 17:49:25,414744.841203681,3985937.8014561,414745.0147605836,3985937.535790036,2801,-1
29,2015-10-12 17:49:26,414765.161587385,3985951.6913634,414765.61665014643,3985950.9947922416,2801,-1
30,2015-10-12 17:49:27,414784.758901839,3985965.3664749,414785.6134088289,3985964.058468677,2801,-1
31,2015-10-12 17:49:28,414804.704786772,3985977.81816629,414805.2942989624,3985976.915791444,2801,-1
32,2015-10-12 17:49:29,414824.47361694,3985990.60436563,414825.00425848056,3985989.7921049404,2801,-1
33,2015-10-12 17:49:30,414843.609496137,3986003.17489104,414844.43416445196,3986001.778219292,2801,-1
34,2015-10-12 17:49:31,414864.011102933,3986016.17689541,414865.2542458423,3986014.071488243,2801,-1
35,2015-10-12 17:49:32,414884.587504807,3986028.62266998,414885.96041035315,3986026.297494689,2801,-1
36,2015-10-12 17:49:33,414904.701531354,3986039.85286579,414905.7915289227,3986038.0068280776,2801,-1
37,2015-10-12 17:49:34,414925.455889705,3986052.07517977,414926.5318121119,3986050.2529799817,2801,-1
38,2015-10-12 17:49:35,414946.19948255,3986063.18847136,414946.77856594586,3986062.207726248,2801,-1
39,2015-10-12 17:49:36,414966.495702217,3986074.63888076,414966.8411919141,3986074.0537537574,2801,-1
40,2015-10-12 17:49:37,414987.513787278,3986086.19328759,414987.87085506454,3986085.528276888,2801,-1
41,2015-10-12 17:49:38,415009.071382191,3986097.63162134,415009.3714755103,3986097.0727211074,2801,-1
42,2015-10-12 17:49:39,415030.80806211,3986108.95736208,415030.9641784432,3986108.6666076737,2801,-1
43,2015-10-12 17:49:40,415052.550031892,3986120.83769109,415052.792127845,3986120.3868063963,2801,-1
44,2015-10-12 17:49:41,415074.022694213,3986132.83158592,415074.4583680072,3986132.0201777043,2801,-1
45,2015-10-12 17:49:42,415095.843961755,3986143.60208126,415095.8853150215,3986143.5250640498,2801,-1
46,2015-10-12 17:49:43,415117.310096068,3986154.93063793,415117.532468558,3986154.484113971,2801,-1
47,2015-10-12 17:49:44,415139.675090076,3986166.02875288,415139.8815686462,3986165.6141439117,2801,-1
48,2015-10-12 17:49:45,415161.586296722,3986176.79854126,415161.7360447712,3986176.4978471776,2801,-1
49,2015-10-12 17:49:46,415183.864275168,3986188.23035596,415184.1485814102,3986187.6594690266,2801,-1
50,2015-10-12 17:49:47,415207.311423431,3986199.42913809,415207.42383365723,3986199.2024713424,2801,-1
51,2015-10-12 17:49:48,415230.119239854,3986209.74679449,415229.8362587208,3986210.3174046134,2801,-1
52,2015-10-12 17:49:49,415253.289553977,3986220.28285636,415253.09381833335,3986220.7246065233,2801,-1
