06/06/2021-17:05:12.540      3.848      5.235      0.077
06/06/2021-17:05:14.539      3.939      5.296      0.083
06/06/2021-17:05:16.539      4.029      5.354      0.085
06/06/2021-17:05:19.539      4.120      5.418      0.083
06/06/2021-17:05:21.538      4.205      5.476      0.089
06/06/2021-17:05:23.539      4.289      5.527      0.101
06/06/2021-17:05:25.538      4.368      5.579      0.108
06/06/2021-17:05:27.540      4.442      5.627      0.128
06/06/2021-17:05:29.539      4.531      5.670      0.121
06/06/2021-17:05:31.539      4.623      5.705      0.131
06/06/2021-17:05:33.538      4.717      5.735      0.118
06/06/2021-17:05:35.539      4.818      5.760      0.112
06/06/2021-17:05:37.539      4.914      5.773      0.120
06/06/2021-17:05:39.541      5.011      5.787      0.153
06/06/2021-17:05:41.541      5.110      5.802      0.159
06/06/2021-17:05:43.539      5.205      5.818      0.155
06/06/2021-17:05:45.538      5.305      5.829      0.143
06/06/2021-17:05:47.539      5.408      5.835      0.115
06/06/2021-17:05:49.538      5.511      5.832      0.156
06/06/2021-17:05:51.538      5.615      5.824      0.176
06/06/2021-17:05:53.539      5.771      5.794      0.194
06/06/2021-17:05:56.541      5.849      5.765      0.196
06/06/2021-17:05:58.540      5.937      5.720      0.206
06/06/2021-17:06:00.538      6.012      5.660      0.192
06/06/2021-17:06:02.538      6.093      5.591      0.182
06/06/2021-17:06:04.538      6.170      5.520      0.192
06/06/2021-17:06:06.538      6.247      5.449      0.176
06/06/2021-17:06:08.539      6.321      5.384      0.163
06/06/2021-17:06:10.540      6.398      5.316      0.180
06/06/2021-17:06:12.540      6.473      5.246      0.203
06/06/2021-17:06:14.539      6.547      5.172      0.210
06/06/2021-17:06:16.539      6.620      5.099      0.226
06/06/2021-17:06:18.540      6.693      5.030      0.226
06/06/2021-17:06:23.539      6.790      4.935      0.240
06/06/2021-17:06:25.540      6.855      4.867      0.262
06/06/2021-17:06:27.540      6.924      4.803      0.258
06/06/2021-17:06:29.539      6.998      4.734      0.273
06/06/2021-17:06:31.539      7.072      4.669      0.283
06/06/2021-17:06:33.539      7.142      4.597      0.279
06/06/2021-17:06:35.539      7.202      4.521      0.302
06/06/2021-17:06:37.539      7.249      4.450      0.323
06/06/2021-17:06:39.541      7.296      4.345      0.314
06/06/2021-17:06:41.540      7.320      4.256      0.323
06/06/2021-17:06:43.539      7.351      4.155      0.342
06/06/2021-17:06:45.539      7.383      4.056      0.352
06/06/2021-17:06:47.540      7.405      3.966      0.385
06/06/2021-17:06:49.540      7.434      3.879      0.274
06/06/2021-17:06:51.539      7.478      3.769      0.370
06/06/2021-17:06:53.541      7.493      3.683      0.354
06/06/2021-17:06:55.541      7.524      3.589      0.338
06/06/2021-17:06:57.540      7.550      3.505      0.260
06/06/2021-17:06:59.539      7.595      3.395      0.336
06/06/2021-17:07:01.540      7.649      3.288      0.365
06/06/2021-17:07:03.540      7.695      3.210      0.344
06/06/2021-17:07:05.539      7.762      3.133      0.340
06/06/2021-17:07:07.539      7.836      3.061      0.338
06/06/2021-17:07:09.540      7.909      2.990      0.335
06/06/2021-17:07:11.540      7.976      2.913      0.336
06/06/2021-17:07:13.539      8.034      2.826      0.333
06/06/2021-17:07:15.539      8.068      2.735      0.342
06/06/2021-17:07:17.539      8.087      2.636      0.347
06/06/2021-17:07:19.539      8.091      2.534      0.347
06/06/2021-17:07:21.539      8.089      2.431      0.346
06/06/2021-17:07:24.541      8.076      2.334      0.339
06/06/2021-17:07:26.539      8.061      2.232      0.360
06/06/2021-17:07:28.540      8.038      2.139      0.362
06/06/2021-17:07:30.539      8.000      2.052      0.360
06/06/2021-17:07:32.540      7.947      1.970      0.368
