field_1,field_2,altimeZ_mn
904431.333604475,6435422.05303698,1119.150000000000091
904433.4422165238,6435438.035471693,1123.640000000000100
904442.0654906541,6435457.588007141,1122.849999999999909
904450.6887070781,6435477.140553535,1127.509999999999991
904462.8391172347,6435494.464312572,1131.960000000000036
904474.9894574925,6435511.788094567,1131.960000000000036
904487.1472401832,6435529.123259012,1135.420000000000073
904496.6954572442,6435546.917167347,1137.089999999999918
904506.2432519889,6435564.722190032,1140.009999999999991
904511.7268053901,6435587.416457449,1140.009999999999991
904517.2099486365,6435610.121828848,1141.480000000000018
904522.6934117005,6435632.8161031855,1144.089999999999918
904539.6794733827,6435641.197871746,1146.369999999999891
904562.4410436961,6435644.924569582,1146.369999999999891
904585.2029544959,6435648.640250168,1147.349999999999909
904598.5107080475,6435659.045915958,1148.750000000000000
904588.9747663578,6435671.100490701,1147.319999999999936
904580.5086287218,6435694.024977461,1147.279999999999973
904572.0429133271,6435716.938373766,1146.500000000000000
904559.9867836141,6435730.099138018,1149.329999999999927
904547.9389458117,6435743.24908367,1149.079999999999927
904535.8907927644,6435756.4101526765,1152.380000000000109
904514.2953888987,6435768.790587142,1152.369999999999891
904507.9983613158,6435752.137010123,1154.589999999999918
904501.7016623607,6435735.472338229,1153.509999999999991
904495.396685054,6435718.818513518,1153.509999999999991
904488.1787215535,6435699.712150695,1151.910000000000082
904480.9603453253,6435680.616895804,1151.619999999999891
904468.0386247413,6435685.570565187,1151.619999999999891
904455.1570403938,6435690.503354927,1156.769999999999982
904455.1169253192,6435690.52426134,1156.769999999999982
904451.011774141,6435696.423419112,1156.769999999999982
904439.1121737701,6435713.945662326,1158.400000000000091
904428.1939627205,6435732.800344711,1161.710000000000036
904419.5945647188,6435746.363907759,1162.779999999999973
904411.7273736813,6435755.884364643,1166.839999999999918
904409.2282310739,6435764.025492031,1167.940000000000055
904402.9471531317,6435763.674611053,1167.940000000000055
904397.713322313,6435765.769566317,1167.940000000000055
904393.3906579149,6435769.172406943,1167.940000000000055
904385.5276167823,6435770.1697343495,1172.390000000000100
904370.0252609265,6435767.515627952,1172.390000000000100
904350.0542434818,6435765.748206643,1177.369999999999891
904350.8077947302,6435770.173517961,1177.369999999999891
904351.8330873081,6435778.808285854,1177.369999999999891
904351.4614799456,6435780.51851566,1177.369999999999891
904349.2300159123,6435790.835397442,1177.750000000000000
904336.3546569885,6435790.067909323,1183.420000000000073
904327.7165024662,6435788.017242152,1183.420000000000073
904311.3733277859,6435791.036375355,1190.099999999999909
904311.0778702687,6435791.148907616,1190.099999999999909
904310.8105641839,6435790.884539401,1190.099999999999909
904296.8920081154,6435788.0270523,1190.099999999999909
904287.8555410365,6435785.618870295,1189.809999999999945
904287.3801378417,6435803.6944138305,1197.970000000000027
904281.7715991776,6435818.4009614475,1197.289999999999964
904271.7037980984,6435830.349620587,1197.289999999999964
904265.7564233585,6435833.765861545,1197.289999999999964
904258.9233323986,6435842.542584211,1203.359999999999900
904251.0908159167,6435854.620243635,1203.359999999999900
904240.4337692446,6435857.381785339,1203.359999999999900
904234.2233372686,6435863.767566638,1207.559999999999945
904225.5248511782,6435869.560482773,1207.559999999999945
904220.9893542418,6435871.045098528,1207.559999999999945
904215.0567664525,6435873.772895971,1207.559999999999945
904203.8826028456,6435873.072645476,1214.519999999999982
904195.2284465553,6435879.678270145,1214.519999999999982
904181.6401445795,6435879.9767152155,1221.259999999999991
904175.0183765612,6435883.282000258,1221.259999999999991
904164.7141519808,6435892.833872725,1219.089999999999918
904161.586908187,6435898.020768017,1226.769999999999982
904157.2619565825,6435897.656553464,1226.769999999999982
904150.7250771099,6435902.22036136,1226.769999999999982
904145.2572291255,6435910.730861461,1226.769999999999982
904135.8860282565,6435924.291674457,1233.380000000000109
904131.6952898921,6435940.500607716,1232.759999999999991
904124.7519492437,6435949.762796379,1232.759999999999991
904121.4736112197,6435953.789051207,1232.759999999999991
904112.6407455946,6435964.645001428,1233.359999999999900
904112.0329523758,6435956.7351873005,1242.490000000000009
904110.9874120044,6435953.033753858,1242.490000000000009
904108.8677344355,6435945.541049154,1242.490000000000009
904105.801742749,6435939.973089036,1242.490000000000009
904098.5319108185,6435942.846022408,1242.490000000000009
904087.7004319674,6435953.814222986,1242.490000000000009
904086.6239153438,6435954.90126035,1252.660000000000082
904084.2417293991,6435955.167580897,1252.660000000000082
904074.3567142466,6435956.276744869,1252.660000000000082
904074.1770708333,6435967.038851253,1253.680000000000064
904074.1013158063,6435971.270223416,1253.680000000000064
904069.8981786371,6435979.211092915,1253.680000000000064
904061.703535646,6435988.643427861,1266.559999999999945
904052.2764926081,6435975.554781126,1264.380000000000109
904048.3417844458,6435975.314568589,1264.380000000000109
904048.3542320251,6435986.471912681,1264.380000000000109
904050.2255608421,6436004.179932967,1266.559999999999945
904051.660565731,6436012.59471355,1268.759999999999991
904051.662212827,6436023.840602406,1268.759999999999991
904049.6821848936,6436035.64377568,1268.759999999999991
904049.6821848936,6436035.64377568,1268.759999999999991
904046.3696428181,6436046.003059857,1270.160000000000082
904042.3704425769,6436057.584416371,1270.160000000000082
904036.7859747018,6436063.168590218,1280.589999999999918
904028.8430739228,6436054.59588574,1280.980000000000018
904024.7038085031,6436044.247729519,1280.980000000000018
904024.4195612934,6436043.538318763,1280.980000000000018
904020.6788411186,6436042.193237612,1280.980000000000018
904013.4425205372,6436056.068720688,1280.980000000000018
904010.6459685432,6436060.555331392,1291.630000000000109
904010.569943964,6436061.430723705,1291.630000000000109
904003.97524097,6436069.448759442,1290.859999999999900
903987.0895931748,6436085.430294719,1301.390000000000100
903979.4056419954,6436086.511779879,1301.390000000000100
903978.3452059022,6436071.241792477,1301.390000000000100
903977.2930028355,6436055.96096241,1302.569999999999936
903970.6254961037,6436058.9871415645,1302.569999999999936
903968.8137143692,6436059.894510007,1302.569999999999936
903963.2705839672,6436063.979918548,1301.390000000000100
903958.8892275413,6436070.148125923,1312.460000000000036
903954.4759845607,6436079.693483568,1312.460000000000036
903948.3045848189,6436086.347508952,1312.460000000000036
903943.7626834408,6436092.843835397,1310.039999999999964
903936.7291109514,6436096.935955283,1321.750000000000000
903933.0508521518,6436100.660263594,1321.750000000000000
903928.5245417457,6436108.846207524,1321.750000000000000
903924.298035316,6436120.15347707,1319.019999999999982
903924.298035316,6436120.15347707,1319.019999999999982
903918.3484362218,6436130.626380145,1319.019999999999982
903917.2316490987,6436137.51283539,1315.750000000000000
903911.3011356881,6436143.796967144,1328.529999999999973
903900.1294236716,6436152.176217702,1328.529999999999973
903896.7115642488,6436140.262721072,1328.529999999999973
903895.7101179338,6436130.88430063,1331.559999999999945
903896.0051359066,6436114.669761744,1331.559999999999945
903895.7472527028,6436108.104948236,1333.990000000000009
903891.7281179723,6436098.416462106,1333.990000000000009
903888.1569079888,6436101.522006849,1333.990000000000009
903881.9729480062,6436109.764766382,1346.660000000000082
903872.6809949292,6436111.793792222,1346.660000000000082
903868.5989832606,6436116.771723821,1344.470000000000027
903861.6531834316,6436126.367475955,1357.410000000000082
903854.0695159464,6436136.420163878,1357.410000000000082
903853.3553896126,6436137.519116674,1354.599999999999909
903846.9481730976,6436141.509626604,1354.599999999999909
903844.7864202814,6436135.293578548,1357.410000000000082
903842.5400766232,6436129.252558357,1357.410000000000082
903832.4968967653,6436130.145774481,1369.829999999999927
903821.3157359353,6436136.891321516,1369.829999999999927
903820.5445475898,6436143.100143179,1366.660000000000082
903815.3124734304,6436149.729513284,1366.660000000000082
903810.3283900744,6436153.844483897,1378.509999999999991
903807.2809891155,6436156.367164146,1378.509999999999991
903804.4899923934,6436153.23088985,1378.509999999999991
903802.3978736663,6436147.294951454,1378.509999999999991
903795.4131855418,6436150.622067007,1378.509999999999991
903795.4107700915,6436156.711619346,1378.509999999999991
903792.8615058076,6436167.373841568,1374.269999999999982
903787.388446059,6436174.862108997,1385.910000000000082
903784.4247441108,6436173.387054759,1385.910000000000082
903783.3156596723,6436178.117962353,1385.910000000000082
903778.7463295809,6436186.902668753,1385.910000000000082
903767.8571490969,6436199.903076735,1380.640000000000100
903760.6621225884,6436207.246048457,1391.519999999999982
903755.1486380586,6436207.06541766,1391.519999999999982
903752.8948149761,6436203.657841426,1391.519999999999982
903761.2076382242,6436190.595226209,1391.519999999999982
903762.5820063283,6436182.339243358,1385.910000000000082
903766.4338901758,6436160.796136128,1390.470000000000027
903770.2775557027,6436139.263872507,1390.470000000000027
903767.7264157096,6436122.067092969,1394.640000000000100
903767.3977621605,6436105.865463007,1398.799999999999955
903766.2511864936,6436087.192292824,1402.960000000000036
903755.9957053794,6436104.191753648,1412.329999999999927
903748.6110276071,6436115.395668679,1407.480000000000018
903740.2808170499,6436128.024349829,1407.480000000000018
903734.605114476,6436143.384761391,1414.579999999999927
903727.693396734,6436148.336761721,1414.579999999999927
903724.202056894,6436148.044599328,1414.579999999999927
903724.7329873771,6436140.26104195,1414.579999999999927
903724.5565855033,6436135.776941387,1420.349999999999909
903723.5076305822,6436124.952380869,1420.349999999999909
903719.861717655,6436114.453917506,1420.349999999999909
903715.7961984879,6436118.210114477,1420.349999999999909
903710.510052312,6436125.048935708,1433.940000000000055
903707.0260567807,6436132.958020617,1433.940000000000055
903703.3378725054,6436144.694218393,1427.390000000000100
903696.8039855354,6436158.815294386,1427.390000000000100
903694.6725035666,6436154.078252118,1427.390000000000100
903696.6256409583,6436148.852688852,1427.390000000000100
903698.1624446685,6436134.190123596,1433.940000000000055
903686.7011571452,6436145.882889782,1442.339999999999918
903677.4293279045,6436157.414014627,1442.339999999999918
903668.1810307554,6436163.411918182,1434.660000000000082
903651.9760645449,6436178.6276274845,1450.549999999999955
903633.7064581215,6436193.086803569,1458.279999999999973
903639.4027175251,6436178.293719967,1450.549999999999955
903646.0173773351,6436159.774701154,1458.579999999999927
903650.9794879163,6436146.213294306,1458.579999999999927
903658.0661967834,6436128.209802064,1464.710000000000036
903659.2812031535,6436118.315049492,1464.710000000000036
903660.3650755656,6436102.070788404,1467.180000000000064
903660.5707024215,6436098.921583216,1467.180000000000064
903660.6788975908,6436094.413467471,1467.180000000000064
903651.2537891818,6436088.470828685,1467.180000000000064
903638.4157544094,6436091.639799159,1467.180000000000064
903630.8109622328,6436100.903073084,1474.990000000000009
903623.1969302702,6436117.433599739,1475.750000000000000
903615.2353450997,6436128.685451204,1475.750000000000000
903611.7633158885,6436133.583501497,1481.660000000000082
903602.7309690081,6436138.043940147,1481.799999999999955
903592.1335887833,6436139.008299524,1481.799999999999955
903585.5480405624,6436141.9486645125,1487.660000000000082
903563.19347886,6436147.99555593,1487.660000000000082
903554.4254434021,6436156.909694335,1491.160000000000082
903545.6574326004,6436165.823844876,1495.640000000000100
903523.2451262729,6436173.880338789,1501.930000000000064
903500.8325166355,6436181.948013823,1506.809999999999945
903478.4203301527,6436190.004668849,1519.869999999999891
903458.3720775826,6436190.637833937,1526.109999999999900
903436.460190182,6436195.45505747,1530.690000000000055
903414.5487019911,6436200.261257547,1530.690000000000055
903392.6368868519,6436205.078635308,1535.670000000000073
903368.4750730381,6436206.366547132,1541.569999999999936
903344.3057587852,6436207.643194718,1548.529999999999973
903320.1439709938,6436208.93129428,1554.690000000000055
903295.9821962346,6436210.219487696,1561.150000000000091
903272.9949079057,6436210.312680844,1567.140000000000100
903250.0076230355,6436210.405958952,1572.740000000000009
903227.0203416242,6436210.499322021,1578.450000000000045
903204.0330636723,6436210.592770049,1583.339999999999918
903185.2306734697,6436207.367054761,1588.059999999999945
903166.4282655496,6436204.1413962925,1588.059999999999945
903147.6179634975,6436200.915537381,1592.940000000000055
903128.8155201386,6436197.689992587,1596.880000000000109
903120.0714838249,6436193.337267082,1596.880000000000109
903109.6875549471,6436195.498442409,1596.470000000000027
903091.278096047,6436212.110408939,1596.470000000000027
903072.8687341874,6436228.722429162,1603.000000000000000
903054.4515930103,6436245.334245926,1605.559999999999945
903036.0427876415,6436261.935272969,1595.359999999999900
903022.5221534574,6436272.028466655,1608.349999999999909
903009.0019253046,6436282.110588848,1598.410000000000082
902992.9247491169,6436286.708648,1598.410000000000082
902981.8660042331,6436295.782150636,1610.029999999999973
902970.4786754937,6436289.798740182,1610.029999999999973
902946.6596063332,6436293.88867601,1608.410000000000082
902927.8528640914,6436300.709212292,1604.480000000000018
902909.0461643804,6436307.529805295,1598.680000000000064
902899.4395263367,6436318.984430679,1611.759999999999991
902879.1368688729,6436318.733265045,1612.869999999999891
902858.8342119296,6436318.482165691,1611.930000000000064
902838.5394317729,6436318.23138949,1611.930000000000064
902814.5504882947,6436324.394303114,1609.680000000000064
902790.5619568306,6436330.546208541,1607.839999999999918
902766.5809896719,6436336.709563753,1602.170000000000073
902749.4097584247,6436343.1950162845,1612.000000000000000
902732.246440246,6436349.680772837,1604.180000000000064
902724.4443537912,6436359.727641914,1604.180000000000064
902710.7061772499,6436360.06882391,1599.099999999999909
902696.9680031987,6436360.410036253,1599.099999999999909
902676.2986702579,6436352.302226661,1602.259999999999991
902661.9927537772,6436352.40276697,1606.859999999999900
902647.9861053975,6436337.511360588,1606.859999999999900
902638.5823499969,6436340.094179176,1606.859999999999900
902629.1123308536,6436360.19909488,1599.269999999999982
902619.6420074299,6436380.31512449,1606.759999999999991
902610.1721030462,6436400.420066798,1591.900000000000091
902600.7022560347,6436420.525022401,1595.759999999999991
902597.1116255317,6436441.921635707,1602.019999999999982
902593.528891082,6436463.31850641,1611.660000000000082
902584.2126098948,6436477.261107528,1600.029999999999973
902577.6941353523,6436479.137904436,1600.029999999999973
902564.9924056778,6436468.0007286295,1600.029999999999973
902553.4299500466,6436477.80308036,1593.670000000000073
902547.6059747397,6436478.691300979,1593.670000000000073
902537.552442913,6436470.729673697,1593.670000000000073
902530.0834263966,6436472.742249935,1587.029999999999973
902523.4853181671,6436479.728205839,1587.029999999999973
902519.9948292266,6436493.216096041,1599.910000000000082
902516.5047150468,6436506.692887093,1599.910000000000082
902505.7970877811,6436519.545725339,1598.500000000000000
902503.4619542287,6436538.71633126,1611.829999999999927
902499.8893037641,6436542.622682132,1611.829999999999927
902478.1426195301,6436530.32441323,1592.849999999999909
902465.2635345655,6436532.383175171,1592.849999999999909
902452.3848202958,6436534.430863149,1591.579999999999927
902444.8356139458,6436527.284329339,1591.579999999999927
902439.2944430541,6436528.448552069,1591.579999999999927
902424.5493126708,6436539.392117942,1598.759999999999991
902409.7963579937,6436550.335462089,1591.349999999999909
902391.4502718769,6436556.127999313,1591.349999999999909
902373.0959840934,6436561.9314348735,1586.049999999999955
902354.7417319033,6436567.734924495,1593.740000000000009
902332.4385974522,6436570.354090015,1591.400000000000091
902310.1279694424,6436572.961978662,1589.150000000000091
902287.8170015608,6436575.581047935,1589.150000000000091
902265.5139308955,6436578.2004533755,1586.650000000000091
902244.128790416,6436579.505193328,1584.529999999999973
902222.7515371932,6436580.810262905,1584.190000000000055
902201.3742952907,6436582.1154059535,1582.700000000000045
902182.9585845757,6436584.239205263,1580.410000000000082
902160.997920155,6436582.3918339815,1579.859999999999900
902139.0297300688,6436580.533183621,1579.859999999999900
902126.4243858495,6436592.613769497,1589.589999999999918
902118.4295229063,6436582.675069145,1575.710000000000036
902100.0841314602,6436585.790397547,1577.339999999999918
902084.5333089706,6436577.150817954,1579.519999999999982
902065.0789611073,6436576.785385253,1579.519999999999982
902045.8848795566,6436576.417356667,1579.529999999999973
902045.616736996,6436576.419757529,1579.529999999999973
902027.5633926595,6436586.078849256,1574.029999999999973
902012.7415078548,6436604.510590458,1587.119999999999891
902003.5122638441,6436595.4320473345,1585.960000000000036
901994.2747560597,6436586.364362525,1569.609999999999900
901980.4048889384,6436585.924996358,1569.869999999999891
901970.4534649554,6436589.613361034,1586.769999999999982
901965.5301683494,6436597.976642598,1586.769999999999982
901960.8138843739,6436598.023502985,1584.390000000000100
901947.9204757047,6436582.325331222,1573.019999999999982
901936.0763132982,6436576.317885393,1578.250000000000000
901924.2317679913,6436570.321562678,1578.250000000000000
901904.2217351018,6436565.215845271,1579.140000000000100
901889.4425164461,6436573.114755081,1579.140000000000100
901874.6715720162,6436581.002854838,1573.119999999999891
901864.979826866,6436567.220103263,1573.119999999999891
901855.29591334,6436553.437621936,1567.849999999999909
901850.8503653549,6436552.915512424,1567.849999999999909
901835.9440442723,6436561.08823134,1575.000000000000000
901826.8819924269,6436539.802924675,1575.000000000000000
901806.9200197228,6436538.799538159,1579.180000000000064
901807.3358801145,6436532.301202225,1570.279999999999973
901796.72144847,6436523.3780509,1570.279999999999973
901797.2261213289,6436514.8712628605,1570.279999999999973
901789.3634956949,6436497.436466204,1561.549999999999955
901776.3504589237,6436489.780118505,1571.150000000000091
901763.3373904541,6436482.123797892,1558.910000000000082
901744.5546614933,6436480.247663618,1561.339999999999918
901725.7715629594,6436478.382686719,1561.740000000000009
901713.3709065221,6436482.714322064,1561.740000000000009
901700.9706279503,6436487.034881414,1562.619999999999891
901695.0961393832,6436477.087731779,1562.619999999999891
901694.963093615,6436462.470697952,1556.119999999999891
901694.8379211174,6436447.8539189845,1556.119999999999891
901688.4239093966,6436441.656360248,1556.119999999999891
901676.2541666912,6436443.72864401,1565.299999999999955
901672.4833094862,6436431.393908811,1557.410000000000082
901668.7206719539,6436419.048330236,1557.410000000000082
901660.0096763232,6436406.364502443,1558.549999999999955
901651.3065201382,6436393.680941817,1558.549999999999955
901634.2517871797,6436378.137447817,1555.960000000000036
901617.2048443776,6436362.594255322,1555.960000000000036
901600.1499393329,6436347.050853629,1553.400000000000091
901582.8452747306,6436334.5886335075,1548.339999999999918
901565.5480573673,6436322.137817089,1548.339999999999918
901548.2432543084,6436309.675692483,1541.559999999999945
901524.60783205,6436302.78689415,1545.730000000000018
901500.9802362497,6436295.898440728,1548.710000000000036
901477.3447143291,6436289.009821813,1550.349999999999909
901453.7091425735,6436282.121292615,1538.410000000000082
901430.0810377782,6436275.244208919,1542.119999999999891
901410.6810314737,6436265.870519741,1546.559999999999945
901391.28848475,6436256.508246602,1533.380000000000109
901375.6347889807,6436246.122524948,1537.470000000000027
901359.9810412005,6436235.736842431,1527.759999999999991
901339.5695213468,6436228.375299369,1527.759999999999991
901319.1579548791,6436221.013823172,1532.259999999999991
901305.2643079205,6436208.618365589,1528.579999999999927
901295.622601521,6436194.938179314,1528.579999999999927
901283.9702719608,6436190.271700414,1534.890000000000100
901272.317925432,6436185.605243293,1524.200000000000045
901269.9993616552,6436166.128105957,1524.200000000000045
901254.0758438502,6436157.2452450385,1525.460000000000036
901248.9116612637,6436140.909720652,1525.460000000000036
901243.7392132982,6436124.585045682,1516.349999999999909
901225.1898447481,6436115.21725526,1526.589999999999918
901215.5996812818,6436105.539301537,1515.289999999999964
901206.001970112,6436095.850006856,1522.019999999999982
901207.4019427394,6436080.360280565,1518.140000000000100
901199.9715314385,6436072.163486991,1518.140000000000100
901195.8816968971,6436058.196351301,1511.809999999999945
901191.7918421017,6436044.229217785,1511.809999999999945
901195.3690118685,6436028.220963534,1509.450000000000045
901187.7991937366,6436016.774880197,1509.450000000000045
901182.8357941302,6435997.8789645275,1518.109999999999900
901177.8723608761,6435978.983051877,1509.240000000000009
901172.9085349257,6435960.0982429385,1498.470000000000027
901153.5183210219,6435954.037179874,1504.630000000000109
901139.5132052997,6435957.006841118,1504.630000000000109
901125.5159805702,6435959.976788577,1507.230000000000018
901147.1464770319,6435969.421685575,1518.680000000000064
901158.5384225373,6435980.935770897,1518.680000000000064
901161.0705859048,6435991.14098704,1530.049999999999955
901164.434602106,6435991.716507497,1518.109999999999900
901146.6986447845,6435989.120448283,1530.049999999999955
901134.2297126339,6435994.573396489,1535.819999999999936
901129.0056335685,6435990.8040694175,1535.819999999999936
901121.0712830627,6435990.869751937,1535.819999999999936
901105.381635789,6435994.974032086,1538.039999999999964
901105.2542747946,6435998.181372041,1538.039999999999964
901118.4357850163,6436004.097079765,1535.819999999999936
901131.617270756,6436010.012815346,1535.819999999999936
901141.4683216525,6436020.165787007,1539.910000000000082
901144.291359901,6436028.691330319,1539.910000000000082
901144.162499335,6436048.767112064,1546.170000000000073
901144.0332764436,6436068.853993428,1548.400000000000091
901133.9750072889,6436058.772101164,1561.509999999999991
901123.924581678,6436048.690479613,1561.509999999999991
901111.2290472754,6436046.768678959,1568.119999999999891
901098.4772338242,6436045.611834144,1568.119999999999891
901077.4290975856,6436054.7434846815,1568.819999999999936
901063.0950916992,6436049.84627403,1568.819999999999936
901050.683464596,6436052.800965856,1571.720000000000027
901038.2718499701,6436055.755682423,1571.720000000000027
901032.3891582543,6436044.553240445,1579.990000000000009
901015.2261647601,6436047.165519067,1579.990000000000009
900998.070704974,6436049.789200285,1585.410000000000082
900986.4808363304,6436040.491480828,1598.329999999999927
900974.8905742135,6436031.204883466,1584.630000000000109
900950.6213668191,6436034.610051517,1585.049999999999955
900929.8441519833,6436029.260509097,1595.599999999999909
900922.4699935465,6436019.065662971,1595.599999999999909
900913.4716254768,6436019.119460642,1595.599999999999909
900905.4740721614,6436009.426776096,1594.269999999999982
900887.1177308979,6436004.311151553,1602.569999999999936
900868.7617194868,6435999.184480413,1602.569999999999936
900850.405679353,6435994.057863391,1608.519999999999982
900843.3738017522,6435979.362576578,1600.380000000000109
900828.51325358,6435971.470818541,1613.930000000000064
900826.8180250478,6435959.992640471,1608.940000000000055
900813.7688143002,6435948.747931279,1608.940000000000055
900800.7191976632,6435937.514349875,1622.440000000000055
900787.6698919297,6435926.269694809,1613.539999999999964
900764.868687189,6435916.432685836,1624.690000000000055
900758.9294927276,6435905.984331129,1626.769999999999982
900742.4468338395,6435894.595617561,1626.769999999999982
