WKT,link_id,source,target,one_way
"LINESTRING (942238.6 6433828.0,942226.0 6433828.3,942214.2 6433826.6,942218.4 6433831.5,942209.2 6433836.1,942216.3 6433844.5,942212.7 6433846.3,942213.6 6433849.5,942210.8 6433853.1,942213.0 6433858.8,942205.9 6433864.5,942196.9 6433866.0,942191.6 6433869.7,942180.5 6433876.9,942189.6 6433894.5,942200.3 6433903.2)",66005,69744,69745,0
"LINESTRING (942249.7 6433795.5,942249.8 6433793.4,942247.9 6433789.5,942254.0 6433787.9,942255.1 6433784.8,942257.7 6433783.3,942254.2 6433775.3,942250.9 6433768.7,942247.8 6433762.1,942248.2 6433752.8,942251.6 6433745.0,942256.4 6433741.6)",66006,69746,69747,0
"LINESTRING (941020.3 6434706.9,941017.1 6434703.1,941014.0 6434689.5,941010.6 6434683.8,941008.4 6434674.3,941000.3 6434669.5,940996.4 6434660.7,940995.4 6434654.3,940992.1 6434651.8,940990.1 6434656.0,940985.2 6434653.4,940984.6 6434645.5,940980.8 6434630.5,940973.3 6434618.9,940969.0 6434613.7,940965.1 6434608.3,940970.4 6434599.2,940966.5 6434595.8,940966.9 6434589.1,940960.5 6434583.3,940959.7 6434576.2,940950.3 6434562.2,940942.2 6434553.7,940936.8 6434543.4,940938.0 6434536.9,940934.8 6434528.2,940927.7 6434516.0,940922.1 6434508.4,940924.0 6434504.5,940928.1 6434497.9,940928.9 6434491.2,940927.3 6434482.5,940923.6 6434461.9,940919.4 6434470.9,940918.8 6434456.8,940916.7 6434445.4,940905.8 6434458.7,940904.2 6434443.7,940899.1 6434439.4,940896.9 6434435.3,940886.9 6434451.0,940884.6 6434441.1,940878.6 6434427.2,940877.5 6434413.1,940871.1 6434403.4,940868.5 6434398.7,940866.7 6434390.7,940862.4 6434389.4,940860.3 6434381.0,940861.5 6434377.7,940864.9 6434375.0,940870.8 6434372.0,940877.2 6434367.6,940877.1 6434360.0,940872.3 6434360.0,940871.8 6434358.4,940862.1 6434357.2,940855.6 6434354.5,940855.6 6434350.8,940849.6 6434345.3,940843.1 6434344.7,940832.8 6434334.3,940834.5 6434326.6,940832.6 6434324.0,940825.5 6434323.5,940824.4 6434318.2,940820.5 6434317.5,940817.9 6434314.4,940809.2 6434313.1,940808.4 6434311.2,940802.2 6434308.1,940799.1 6434305.5,940799.5 6434300.2,940803.8 6434293.9,940802.8 6434286.3,940797.6 6434286.3,940793.5 6434284.4,940788.8 6434284.6,940781.7 6434276.7,940782.7 6434270.5)",66007,69697,69739,0
"LINESTRING (944274.2 6433229.0,944287.1 6433234.2,944297.5 6433235.1,944311.1 6433231.6,944319.5 6433228.8,944337.5 6433228.8,944346.2 6433231.1,944390.8 6433255.0,944402.3 6433268.6,944411.5 6433277.1,944422.1 6433276.2,944431.6 6433269.6,944442.7 6433264.0,944515.2 6433261.7,944544.5 6433268.2,944568.4 6433276.3,944590.8 6433279.4,944605.8 6433277.5,944621.4 6433269.6,944635.5 6433266.5,944654.8 6433265.0,944677.0 6433265.3,944695.2 6433262.7,944716.6 6433257.9,944736.9 6433247.6,944759.4 6433246.1,944781.6 6433246.2,944832.9 6433250.1,944856.3 6433243.6)",66030,69659,69768,0
"LINESTRING (950778.8 6433162.7,950787.7 6433159.0,950798.2 6433150.0,950803.0 6433144.9,950806.6 6433139.3,950819.2 6433131.0,950826.8 6433122.0,950841.1 6433114.2,950850.0 6433107.9,950861.2 6433098.5,950880.0 6433089.6,950898.5 6433093.9,950911.6 6433094.0,950916.9 6433089.0,950920.8 6433059.3,950923.7 6433043.1)",66033,16574,69773,0
"LINESTRING (950979.3 6433321.9,950971.3 6433323.1,950967.6 6433327.1,950961.1 6433343.1,950954.8 6433354.0,950948.7 6433359.5,950941.6 6433359.8,950935.2 6433364.0,950925.7 6433364.8,950917.5 6433367.8,950905.9 6433373.8,950888.5 6433383.8,950847.1 6433417.1)",66034,69774,69596,0
"LINESTRING (950847.1 6433417.1,950843.2 6433421.9,950841.4 6433424.0,950839.9 6433432.0,950839.8 6433436.0,950835.2 6433444.7,950835.4 6433448.2,950830.5 6433461.9,950827.1 6433469.1,950811.3 6433491.3,950795.3 6433509.4,950788.0 6433519.4,950771.0 6433533.8,950758.6 6433543.6,950752.9 6433545.5,950745.8 6433548.7,950744.7 6433551.5)",66035,69596,38150,0
"LINESTRING (950979.3 6433321.9,950958.7 6433371.3,950953.8 6433381.1,950951.6 6433391.6,950947.7 6433401.9,950932.8 6433422.7,950927.5 6433428.9,950918.2 6433441.8,950908.4 6433465.5,950903.7 6433476.8,950895.6 6433498.7,950888.6 6433514.4,950884.6 6433530.5,950878.3 6433544.0,950869.0 6433561.7,950861.0 6433577.5,950857.9 6433585.7,950857.9 6433593.8,950857.4 6433602.8,950850.5 6433618.1,950844.5 6433628.2,950836.1 6433639.2,950827.2 6433650.3,950819.1 6433658.3,950810.6 6433670.1,950799.4 6433687.7,950794.9 6433695.4,950790.9 6433706.0,950802.4 6433701.9,950819.2 6433695.2,950844.7 6433681.3,950835.3 6433694.0,950828.6 6433704.6,950808.5 6433735.1,950793.0 6433754.8,950773.7 6433786.8,950762.3 6433809.3,950753.9 6433835.6,950746.2 6433862.3,950732.7 6433893.8,950713.8 6433932.3,950697.6 6433951.7,950683.7 6433971.2,950665.3 6434001.2,950642.8 6434041.4,950629.3 6434072.7,950614.3 6434100.3,950599.3 6434119.6,950588.1 6434141.2,950583.4 6434177.7,950577.1 6434229.9,950572.2 6434273.5,950568.5 6434292.2,950563.0 6434305.9)",66036,69774,16504,0
"LINESTRING (950534.5 6433010.4,950538.4 6433006.2,950542.4 6433003.4,950541.5 6432998.6,950542.9 6432992.3,950541.1 6432989.2)",66037,52517,69775,0
"LINESTRING (950275.1 6433123.0,950271.0 6433126.4,950260.8 6433130.3,950253.4 6433135.1,950252.4 6433141.1,950250.2 6433147.2,950246.9 6433153.6,950241.7 6433157.3,950232.2 6433161.9,950221.9 6433173.0,950210.9 6433181.2,950206.5 6433185.5,950205.1 6433191.8,950205.2 6433196.0,950207.8 6433204.2,950209.1 6433213.3,950206.4 6433222.4,950201.3 6433231.0,950198.4 6433233.5,950193.5 6433241.7,950188.7 6433249.4,950186.3 6433253.3,950177.2 6433259.7,950174.7 6433268.7,950175.5 6433274.5,950173.9 6433288.0,950173.7 6433297.1,950174.9 6433313.5,950176.1 6433328.5,950174.3 6433335.0,950174.5 6433344.7,950182.2 6433357.7,950186.7 6433366.9,950189.0 6433382.9,950187.3 6433397.7,950186.9 6433404.6,950190.3 6433408.3,950193.0 6433411.1,950192.2 6433423.0,950185.7 6433442.7,950169.1 6433470.6,950160.6 6433481.4,950153.2 6433486.6,950149.1 6433490.1,950146.5 6433496.5,950146.4 6433507.3,950144.2 6433515.4,950138.0 6433524.2)",66038,3335,69738,0
"LINESTRING (945177.4 6434805.8,945160.1 6434798.5,945150.8 6434794.2,945144.0 6434794.3,945136.7 6434796.5,945128.7 6434797.8,945117.6 6434796.8,945101.0 6434792.3,945091.4 6434789.6,945082.0 6434788.8,945070.7 6434787.2,945060.5 6434779.1,945051.2 6434775.8,945042.9 6434774.3,945034.0 6434776.5,945028.2 6434781.6,945022.1 6434787.6,945012.7 6434789.9,945003.0 6434787.6,944994.1 6434784.4,944982.8 6434780.9,944972.1 6434773.1,944964.4 6434765.0,944957.7 6434760.4,944954.7 6434767.1,944946.8 6434758.5,944930.8 6434754.8,944908.6 6434744.2,944891.3 6434732.0,944878.5 6434722.3,944867.8 6434713.1,944853.2 6434699.7,944844.9 6434701.7,944837.7 6434689.0,944827.9 6434674.1,944820.7 6434669.8,944819.3 6434662.1,944812.1 6434659.9,944804.5 6434663.6,944799.9 6434673.0,944796.2 6434674.2,944786.3 6434657.5,944779.2 6434645.9,944773 6434645,944769.0 6434636.8,944755.2 6434620.3,944751.0 6434599.5,944745.5 6434589.7,944744.4 6434582.6,944734.5 6434565.0,944727.8 6434558.8,944716.5 6434546.9,944714.5 6434526.4,944702.0 6434514.6,944687.2 6434499.1,944674.5 6434492.5,944671.7 6434490.2,944667.5 6434472.1,944662.6 6434453.2,944653.0 6434442.6,944645.9 6434427.9,944636.1 6434422.6,944628.3 6434405.0,944628.6 6434393.5,944625.8 6434381.1,944615.7 6434367.1,944612.0 6434360.4,944611.7 6434355.4,944615.3 6434348.7,944619.6 6434343.8,944621.6 6434334.3,944624.4 6434321.6,944621.3 6434309.4,944618.7 6434296.7,944622.1 6434289.2,944624.0 6434272.7,944609.9 6434260.6,944604.0 6434260.5,944597.1 6434251.5,944593.9 6434247.3,944583.3 6434240.2,944575.3 6434228.2,944570.5 6434225.4,944567.1 6434212.0,944557.4 6434197.8,944550.9 6434193.3,944549.3 6434188.2,944543.0 6434184.6,944529.6 6434175.6,944519.9 6434164.4,944512.5 6434159.2,944506.8 6434148.9,944498.5 6434145.6,944490.6 6434144.0,944484.9 6434132.1,944479.8 6434123.8,944476.1 6434116.4,944468.2 6434124.2,944465.5 6434115.2,944468.0 6434109.9,944466.7 6434105.3,944468.7 6434099.1,944466.5 6434081.7,944454.4 6434067.5,944453.5 6434061.7,944444.9 6434046.0,944432.1 6434035.7,944414.9 6434012.3,944403.5 6433972.1,944396.6 6433937.5,944380.5 6433918.3,944370.6 6433898.7,944366.5 6433894.2,944366.5 6433886.3,944364.8 6433880.1,944363.9 6433876.1,944366.9 6433869.5,944373.3 6433850.4,944378.7 6433841.3,944384.3 6433832.8,944384.7 6433818.4,944383.5 6433808.4,944364.3 6433792.2,944354.5 6433781.0,944348.5 6433777.3,944347.9 6433751.6,944334.4 6433740.7,944328.1 6433738.2,944320.7 6433730.4,944322.7 6433713.8,944338.1 6433705.0,944330.2 6433699.7,944329.9 6433683.2,944336.1 6433684.1,944339.0 6433680.9,944335.3 6433677.8,944335.4 6433675.0,944339 6433675,944340.9 6433669.3,944346.2 6433671.9,944353.2 6433677.9,944354.3 6433673.1,944349.6 6433665.1,944351.1 6433662.8,944361.6 6433668.5,944378.3 6433674.6,944390.6 6433681.8,944402.6 6433682.4,944411.8 6433690.8,944416.8 6433691.5,944418.2 6433689.1,944414.5 6433685.2,944419.2 6433683.2,944417.1 6433679.6,944419.7 6433670.0,944436.4 6433672.5,944438.7 6433670.8,944435.1 6433660.3,944439.3 6433658.3,944451.1 6433659.2,944454.4 6433664.4,944461.7 6433662.8,944459.7 6433656.5,944463.3 6433654.5,944477.9 6433655.5,944487.6 6433659.2,944484.0 6433649.7,944493.2 6433657.3,944495.0 6433653.8,944506.9 6433656.6,944501.5 6433643.2,944523.9 6433650.5,944521.6 6433638.9,944550.0 6433641.4,944566.2 6433627.6,944576.3 6433613.8,944582.2 6433609.4,944589.9 6433607.4,944595.6 6433602.3,944593.2 6433598.2,944589.3 6433597.5,944589.0 6433595.4,944594.7 6433589.7,944594.8 6433581.6,944591.1 6433580.7,944586.6 6433585.1,944583.5 6433581.8,944593.0 6433568.5,944594.6 6433558.6,944597.1 6433553.2,944595.9 6433547.0,944591.8 6433544.4,944594.9 6433542.2,944596.6 6433537.6,944576.3 6433541.1,944557.8 6433547.2,944546.8 6433548.5,944549.1 6433544.0,944559.0 6433534.3,944563.7 6433523.2,944542.2 6433525.9,944546.9 6433517.2,944532.5 6433518.2,944535.3 6433513.1,944546.5 6433505.0,944546.9 6433499.0,944540.3 6433496.2,944529.5 6433495.1,944527.7 6433488.9,944536.5 6433485.6,944539.3 6433479.1,944531.9 6433477.9,944531.0 6433473.9,944540.8 6433465.9,944552.2 6433453.9,944554.0 6433442.5,944558.9 6433434.6,944557.0 6433427.4,944554.1 6433427.1,944550.4 6433431.6,944545.3 6433432.9,944542.8 6433431.1,944546.8 6433409.7,944543.2 6433408.8,944538.0 6433411.2,944534.8 6433407.9,944540.2 6433394.7,944537.9 6433392.6,944529.8 6433397.0,944528.1 6433393.2,944524.1 6433394.6,944520.3 6433402.1,944509.1 6433412.0,944506.2 6433402.9,944505.5 6433384.9,944509.2 6433371.5,944512.2 6433360.6,944509.9 6433353.3,944513.4 6433347.9,944521.6 6433340.1,944520.3 6433337.0,944514.5 6433334.9,944510.7 6433321.8,944503.0 6433315.6,944488.8 6433329.0,944486.4 6433333.1,944477.3 6433339.4,944472.0 6433344.5,944467.1 6433344.5,944459.3 6433336.5,944436.3 6433330.6,944410.7 6433329.2,944396.0 6433330.3,944376.0 6433335.4,944349.2 6433343.7,944325.6 6433338.2,944319.1 6433332.7,944309.4 6433310.7,944293.9 6433289.0,944291.7 6433286.3,944286.9 6433271.6,944277.1 6433253.2,944277.2 6433244.6,944274.2 6433229.0)",66039,69776,69659,0
"LINESTRING (942894.0 6433500.3,942896.2 6433496.2,942902.6 6433481.8,942907.4 6433471.8,942904.0 6433466.5,942899.6 6433442.2,942897.0 6433429.1,942897.8 6433420.4,942892.9 6433405.8,942886.7 6433390.8,942880.9 6433369.6,942873.0 6433358.5,942866.5 6433331.3,942861.8 6433310.4,942863.7 6433300.9,942864.1 6433290.7,942864.3 6433279.4,942868.5 6433266.7,942866.2 6433245.0,942864.5 6433232.4,942866.1 6433223.9,942866.5 6433213.5,942871.8 6433199.3,942874.3 6433189.8,942878.2 6433175.1,942881.1 6433158.7,942882.4 6433139.9,942882.7 6433134.0,942884.1 6433130.3,942886.6 6433131.9,942888.8 6433126.8,942896.7 6433111.3,942905.6 6433103.1,942914.8 6433093.9,942922.2 6433090.9,942939.7 6433085.6,942943.9 6433088.4,942944.6 6433091.7,942945.0 6433095.9,942948.1 6433100.3,942961.2 6433114.0,942976.8 6433136.9,942994.7 6433165.8,942995.6 6433156.7,943003.2 6433165.1,943004.2 6433141.8,943006.1 6433140.5,943012.1 6433150.5,943013.2 6433138.1,943022.5 6433156.1,943023.8 6433148.0,943027.1 6433155.6,943028.5 6433145.2,943038.7 6433167.1,943037.9 6433157.5,943042.4 6433161.3,943041.8 6433153.9,943048.9 6433162.6,943047.5 6433152.9,943055.4 6433161.6,943053.7 6433142.1,943052.3 6433115.9,943051.6 6433108.1,943053.7 6433108.5,943068.7 6433128.2,943088.8 6433151.5,943090.1 6433146.0,943089.7 6433133.5,943088.1 6433112.3,943089.3 6433111.9,943100.6 6433122.2,943117.5 6433139.6,943119.5 6433139.5,943119.2 6433135.4,943113.7 6433105.3,943115.5 6433105.8,943126.2 6433117.8,943144.2 6433131.2,943146.2 6433133.5,943147.4 6433131.0,943147.2 6433125.2,943144.8 6433111.1,943157.5 6433123.1,943162.6 6433131.9,943163.5 6433132.0,943164.0 6433123.5,943163.4 6433104.1,943176.3 6433124.7,943181.2 6433130.4,943182.1 6433125.3,943184.5 6433106.8,943185.6 6433107.2,943186.9 6433109.6,943194.7 6433123.0,943196.3 6433126.1,943199.1 6433121.9,943202.7 6433107.7,943207.9 6433118.0,943209.1 6433122.3,943212.2 6433118.6,943215.8 6433110.6,943217.6 6433114.8,943220.8 6433110.2,943222.1 6433114.9,943224.4 6433111.8,943224.9 6433115.4,943223.7 6433118.7,943222.9 6433121.5,943230.1 6433115.5,943231.2 6433111.0,943231.4 6433108.3,943235.8 6433116.2,943236.9 6433109.4,943239.7 6433114.9,943239.7 6433108.6,943240.1 6433105.4,943242.7 6433100.4,943247.5 6433091.7,943250.6 6433109.7,943252.0 6433115.6,943254.1 6433120.1,943256.6 6433115.4,943257.9 6433110.4,943262.0 6433104.4,943262.8 6433102.2,943265.6 6433110.0,943270.5 6433104.0,943272.3 6433096.8,943275.4 6433087.2,943280.0 6433082.7,943287.0 6433075.7,943292.2 6433068.1,943299.1 6433062.5,943305.3 6433060.1,943312.0 6433054.9,943314.7 6433049.0,943317.6 6433044.5,943323.5 6433040.2,943329.8 6433032.4,943336.2 6433025.0,943340.6 6433018.8,943343.0 6433012.8,943343.5 6433004.5,943344.8 6432999.2,943348.7 6432992.1,943355.9 6432984.7,943363.5 6432979.1,943371.6 6432973.2,943376.7 6432968.8,943398.0 6432955.7,943426.0 6432942.6,943443.1 6432939.8,943455.8 6432938.9,943464.9 6432937.0,943470.4 6432933.3,943472.0 6432934.6,943470.2 6432939.1,943466.8 6432951.1,943472.8 6432949.8,943484.5 6432946.7,943480.9 6432952.9,943486.9 6432953.0,943495.0 6432949.5,943498.2 6432946.1,943496.5 6432950.6,943493.4 6432957.5,943491.1 6432962.3,943493.6 6432965.3,943498.9 6432964.9,943504.8 6432962.7,943509.4 6432958.9,943512.7 6432954.1,943514.2 6432956.1,943513.4 6432962.4,943513.0 6432967.1,943515.8 6432967.8,943520.4 6432963.2,943523.7 6432958.8,943523.8 6432963.0,943524.1 6432969.7,943529.5 6432963.8,943528.9 6432975.4,943533.1 6432968.7,943533.7 6432980.0,943538.6 6432973.7,943542.3 6432967.2,943543.4 6432959.7,943544.6 6432954.6,943549.8 6432954.0,943555.1 6432950.4,943560.4 6432944.0,943567.7 6432937.6,943575.0 6432931.6,943586.1 6432924.4,943610.9 6432897.5,943612.6 6432914.3,943625.2 6432897.2,943639.9 6432874.5,943661.3 6432853.4,943683.6 6432844.8,943695.2 6432835.9,943703.6 6432827.3,943713.3 6432823.5,943725.2 6432823.7,943731.3 6432812.9,943740.2 6432812.1,943752.2 6432803.0,943762.2 6432797.1,943771.4 6432792.4,943780.6 6432787.4,943789.4 6432786.6,943801.8 6432788.3,943812.6 6432782.8,943842.6 6432785.5,943854.4 6432789.8,943884.7 6432789.5,943891.4 6432788.7,943897.2 6432782.8,943903.0 6432765.9,943910.9 6432753.8,943926.5 6432746.5,943940.4 6432734.4,943953.4 6432730.9,943976.2 6432730.5,944013.2 6432727.5,944024.4 6432727.5,944041.3 6432742.8,944045.1 6432751.4,944043.3 6432763.5)",66040,69777,3091,0
"LINESTRING (940090.0 6433526.5,940099.7 6433528.2,940109 6433525,940116.8 6433520.7,940124.6 6433508.4,940133.3 6433503.1,940142.9 6433497.9,940152.5 6433498.1,940160.6 6433499.8,940164.1 6433498.4,940173.3 6433499.6,940188.3 6433501.2,940201.9 6433497.5,940216.1 6433495.7,940228.6 6433498.5,940238.4 6433499.1,940247.9 6433498.3,940252.1 6433500.3,940270.9 6433496.8,940286.1 6433495.1,940294.7 6433495.3,940305.3 6433489.1,940316.6 6433481.9,940323.9 6433479.8,940330.4 6433479.9,940342.5 6433480.3,940349.5 6433487.0,940355.3 6433494.9,940359.0 6433499.9,940377.0 6433508.3,940387.9 6433514.7,940389.6 6433517.5,940398.1 6433520.1,940406.9 6433527.5,940417.2 6433532.6,940431.6 6433535.3,940443.7 6433537.9,940450.9 6433538.6,940509.7 6433549.0,940546.7 6433586.1,940550.4 6433590.0,940547.6 6433594.2,940554.0 6433600.8,940558.1 6433609.8,940555.0 6433615.1,940558.9 6433619.3,940560.9 6433623.6,940557.7 6433627.2,940561.6 6433631.9,940561.1 6433634.9,940562.3 6433640.4,940555.1 6433642.2,940551.5 6433648.9,940548.4 6433649.6,940539.2 6433657.7,940527.7 6433664.5,940516.9 6433673.7,940511.4 6433677.7,940508.2 6433681.5,940507.3 6433685.3,940500.9 6433693.4,940497.5 6433700.1,940497.0 6433706.1,940501.9 6433707.2,940506.1 6433706.7,940514.1 6433708.7,940526.3 6433710.0,940534.7 6433720.6,940537.5 6433730.9,940542.7 6433733.2,940543.2 6433739.9,940547.9 6433745.8,940551.2 6433751.9,940553.0 6433759.4,940553.8 6433772.0,940553.5 6433784.3,940554.5 6433795.0,940553.4 6433803.4,940551.0 6433808.5,940548.1 6433818.8,940548.6 6433824.9,940549.1 6433831.6,940552.8 6433839.1,940558.5 6433850.5,940561.8 6433862.0,940565.8 6433870.6,940569.7 6433876.5,940573.4 6433888.4)",66041,69778,69715,0
"LINESTRING (940573.4 6433888.4,940561.5 6433883.8,940542.6 6433876.8,940534.4 6433871.9,940534.0 6433868.6,940529.9 6433866.6,940522.6 6433862.2,940516.1 6433856.8,940505.0 6433854.1,940499.0 6433850.1,940489.2 6433845.8,940478.0 6433841.3,940466.1 6433843.2,940460.5 6433845.0,940457.5 6433847.3,940447.2 6433844.7,940435.8 6433842.3,940425.1 6433842.0,940418.8 6433841.4,940413.3 6433836.0,940405.2 6433829.2,940391.7 6433821.0,940383.8 6433819.4,940369.5 6433819.7,940360.2 6433819.9,940351.7 6433822.9,940341.0 6433819.2,940327.2 6433823.3,940315.8 6433827.6,940305.4 6433829.7,940294.0 6433831.8,940291.5 6433838.8,940288.6 6433844.1,940281.1 6433844.1,940275.7 6433839.8,940271.8 6433838.8,940268.8 6433828.5,940266.8 6433827.3,940263.6 6433832.3,940260.6 6433840.3,940258.3 6433844.6,940252.8 6433841.9,940251.0 6433837.5,940246.2 6433834.2,940244.3 6433829.0,940240.4 6433827.4,940238.0 6433834.3,940238.2 6433842.0,940232.1 6433841.5,940225.8 6433835.3,940223.5 6433829.8,940222.1 6433824.7,940218.8 6433821.1,940214.7 6433820.2,940211.7 6433823.5,940204.5 6433822.4,940199.6 6433814.6,940195.7 6433816.0,940188.8 6433809.3,940179.7 6433800.1,940177.3 6433794.2,940172.5 6433787.0,940167.6 6433782.3,940166.6 6433772.6,940166.4 6433765.4,940167.3 6433751.6,940167.6 6433742.1,940170.4 6433736.3,940167.5 6433725.8,940166.0 6433719.7,940156.0 6433726.6,940142.0 6433735.4,940141.9 6433721.4,940141.7 6433715.3,940135.3 6433707.5,940122.5 6433703.7,940107.1 6433705.6,940100.2 6433704.1,940091.4 6433700.8,940082.8 6433690.5,940077.6 6433674.6,940071.5 6433656.1,940067.4 6433645.7,940066.1 6433635.6,940067.0 6433626.9,940066.4 6433621.4,940066.1 6433617.6,940071.8 6433609.5,940080.7 6433598.3,940085.9 6433590.2,940088.0 6433583.9,940092.3 6433573.3,940094.2 6433558.6,940094.9 6433550.9,940093 6433545,940090.7 6433537.4,940089.2 6433532.5,940090.0 6433526.5)",66043,69715,69778,0
"LINESTRING (939594.7 6433367.3,939598.1 6433370.5,939609.2 6433379.6,939618.2 6433388.9,939622.6 6433399.2,939628.3 6433408.4,939636.0 6433416.5,939643.2 6433420.8,939654.3 6433423.7,939664.4 6433428.9,939670.0 6433436.6,939673.6 6433443.2,939679.7 6433447.0,939683.0 6433454.3,939682.5 6433464.1,939684.4 6433470.2,939687.9 6433473.0,939691.3 6433480.5,939698.9 6433485.3,939707.2 6433489.9,939716.1 6433496.1,939720.0 6433500.2,939724.2 6433504.7,939731.2 6433508.7,939733.5 6433511.7,939744.7 6433513.9,939767.1 6433514.9,939776.3 6433519.9,939784.0 6433523.9,939785.7 6433528.2,939793.2 6433534.9,939800.9 6433535.8,939807.9 6433540.0,939814.5 6433546.2,939818.8 6433550.0,939823.0 6433549.7,939833.6 6433546.6,939838.3 6433546.9,939842.0 6433553.2,939845.1 6433558.5,939851.6 6433558.2,939860 6433561,939875.3 6433556.8,939882.7 6433550.5,939896.7 6433544.1,939910.7 6433536.3,939922.4 6433530.6,939943.4 6433523.8,939962.9 6433518.5,939979.7 6433518.2,939991.2 6433521.1,940002.2 6433520.7,940010.1 6433525.4,940019.3 6433530.2,940025.1 6433528.9,940033.9 6433528.4,940043.4 6433528.3,940050.9 6433525.9,940064.0 6433525.2,940076.3 6433525.5,940090.0 6433526.5)",66044,69780,69778,0
"LINESTRING (950057.2 6432296.8,950071.9 6432301.5,950084.1 6432302.9,950096.5 6432302.4,950103.4 6432300.8)",66068,69802,69803,0
"LINESTRING (951985.8 6432080.0,951988.3 6432074.8,951993.7 6432067.6,951997.3 6432061.6,951998.5 6432057.6,951999.7 6432050.2,952002.1 6432043.8,952006.1 6432039.1,952010.2 6432031.0)",66073,61328,69811,0
"LINESTRING (951353.4 6432622.5,951354.0 6432620.1,951356.8 6432613.2,951363.1 6432604.1,951367.5 6432595.6,951369.6 6432587.0)",66074,69812,16620,0
"LINESTRING (950952.6 6433002.1,950960.2 6432987.8,950963.5 6432982.3,950963.7 6432974.2,950963.1 6432964.0,950965.0 6432953.2,950971.9 6432946.5,950977.2 6432935.8,950986.3 6432924.9,950993.4 6432919.4,951008.0 6432909.7,951015.9 6432906.3,951025.9 6432897.8,951030.2 6432891.0,951039 6432885,951038.8 6432879.3,951040.7 6432873.1,951054.7 6432854.4,951063.5 6432841.4,951069.3 6432829.6,951078.6 6432820.5,951087.5 6432813.4,951090.5 6432804.4,951092.1 6432793.7,951094.9 6432783.8,951106.8 6432767.5,951117.0 6432752.2,951125.8 6432741.6,951140.2 6432720.3,951151.4 6432715.1,951160.5 6432707.9,951164.6 6432700.7,951174.6 6432697.9,951200.7 6432661.5,951226.7 6432619.8,951229.1 6432611.3,951234.1 6432603.4,951244.6 6432598.4,951254.5 6432587.7,951259.7 6432577.3,951267.2 6432570.6,951276.8 6432566.8,951297.6 6432551.0,951332.2 6432534.8,951360.5 6432513.1,951367.5 6432506.4,951368.7 6432501.1,951375.2 6432497.4,951379.9 6432489.1,951387.7 6432484.8,951393.8 6432479.1,951401.1 6432476.2)",66075,16587,16757,0
"LINESTRING (950541.1 6432989.2,950546.6 6432984.5,950550.3 6432969.9,950552.3 6432965.7,950555.8 6432956.9,950560.3 6432945.6,950563.7 6432932.9,950566.1 6432923.9,950557.4 6432923.2,950561.5 6432918.0,950566.0 6432906.3,950567.8 6432893.4,950572.5 6432883.1,950574.8 6432872.9,950575.7 6432866.5,950582.2 6432859.2,950586.1 6432850.3,950586.8 6432843.5,950591.7 6432837.1,950599.6 6432827.1,950607.0 6432817.8,950619.5 6432803.0,950622.9 6432794.4,950629.5 6432783.4,950633.8 6432770.2,950635.4 6432762.1,950634 6432757,950635.1 6432754.4,950641.2 6432748.4,950644.7 6432741.3,950643.8 6432732.4,950647.1 6432720.0,950650.3 6432712.7,950655.4 6432708.5,950667.3 6432702.0,950675.3 6432698.2,950691.5 6432695.9,950704.5 6432690.5,950715.1 6432687.6,950724.2 6432682.3,950737.5 6432671.0,950746.9 6432659.3,950753.4 6432640.0,950763.7 6432618.3,950768.6 6432599.2,950769.4 6432588.4,950772.5 6432579.6,950778.2 6432571.0,950787.1 6432557.5,950787.9 6432552.1,950791.4 6432548.2,950792.6 6432540.2,950791.4 6432531.5,950792.7 6432524.8,950798.0 6432512.4,950807.0 6432502.6,950810.5 6432493.6,950813.0 6432482.9,950817.9 6432477.4,950827.1 6432469.7,950834.9 6432465.4,950853.3 6432464.9,950866.2 6432460.0,950872.4 6432449.9,950876.3 6432438.5,950880.4 6432431.7,950901.7 6432420.1,950907.9 6432411.2,950911.6 6432401.8,950916.7 6432396.0,950921.4 6432382.0,950925.7 6432368.4,950926.1 6432358.8,950934.3 6432344.8,950944.8 6432339.8,950956.8 6432337.9,950965.7 6432333.1,950975.0 6432328.2,950978.2 6432321.0,950980.7 6432311.2,950986.0 6432303.6,950989.4 6432292.7,950998.5 6432284.2,951004.6 6432279.6,951010.2 6432272.6,951016.9 6432265.3,951029.8 6432254.5,951037.1 6432241.8,951047.2 6432237.4,951059.2 6432234.9,951068.1 6432229.7,951077.3 6432221.3,951084.3 6432211.3,951098.6 6432202.1,951127.8 6432186.4,951142.2 6432179.8,951160.5 6432169.8,951171.1 6432162.4,951184.4 6432155.9,951197.2 6432153.4,951212.4 6432147.8,951231.0 6432140.4,951246.0 6432135.2,951267.9 6432128.1,951283.5 6432123.7,951309.5 6432107.6,951323.6 6432098.1,951334.2 6432091.0,951338.2 6432080.4,951344.9 6432063.6)",66076,69775,69813,0
