WKT,link_id,source,target,one_way
"LINESTRING (942393.6 6437653.5,942387.9 6437656.9,942384.6 6437658.8,942357.3 6437674.0,942330.6 6437681.3,942313.4 6437685.4)",11643,16304,16247,0
"LINESTRING (945646.7 6437073.0,945651.3 6437068.0,945654.0 6437055.1)",11652,16316,16317,0
"LINESTRING (942114.9 6437470.3,942116.4 6437457.1,942120.5 6437446.8,942130.5 6437429.5,942136.1 6437418.4,942140.8 6437404.2,942143.0 6437394.6)",11662,16327,16328,0
"LINESTRING (945389.2 6437573.8,945388.7 6437568.7,945385.8 6437562.3,945385.2 6437557.0,945388.2 6437549.4,945401.7 6437535.5,945413.7 6437520.2,945424.7 6437505.5,945436.5 6437492.4)",11681,1980,16348,0
"LINESTRING (945413.6 6437165.8,945405.6 6437176.4,945396.5 6437189.3,945389.5 6437198.9,945387.2 6437205.0)",11682,16349,16350,0
"LINESTRING (944905.3 6437447.6,944897.6 6437448.2,944888.7 6437451.3,944871.9 6437460.0)",11683,16351,16352,0
"LINESTRING (944992.5 6437541.1,945030.9 6437554.9,945068.9 6437568.3,945080.9 6437569.8,945124.1 6437569.8,945159.1 6437574.5,945187.4 6437579.9,945202.9 6437585.7,945214.4 6437591.9,945227.8 6437600.1,945242.8 6437615.1,945256.3 6437629.5,945266.4 6437637.0,945277.0 6437641.7,945290.3 6437644.1,945318.4 6437644.0,945341.6 6437641.1,945350.3 6437641.6,945360.1 6437645.5,945390.4 6437673.4,945399.6 6437681.4,945404.1 6437683.3,945410.4 6437682.5,945413.2 6437678.7,945413.0 6437673.4,945410.0 6437669.1,945405.9 6437664.8,945384.8 6437642.3,945366.5 6437626.6,945351.2 6437614.4,945338.5 6437605.6,945324.7 6437602.9,945303.6 6437603.7,945295.2 6437604.5,945289.6 6437603.1,945287.4 6437598.2)",11684,16353,16354,0
"LINESTRING (942393.6 6437653.5,942390.9 6437641.9,942388.3 6437633.0,942389.0 6437625.2,942391.9 6437620.3,942397.6 6437618.9,942404.2 6437619.8,942409.7 6437630.5,942413.4 6437640.6)",11685,16304,16355,0
"LINESTRING (942553.0 6437655.5,942549.0 6437655.4,942545.5 6437655.1,942541.1 6437651.0,942537.1 6437642.6,942533.6 6437632.6,942528.3 6437625.5,942520.4 6437621.2,942516.4 6437622.7,942509.8 6437628.7,942504.1 6437639.7,942495.4 6437656.8,942485.9 6437662.9,942473.6 6437665.0,942459.6 6437663.9,942447.8 6437662.8,942434.5 6437662.2)",11686,16356,16303,0
"LINESTRING (942413.4 6437640.6,942406.5 6437646.0,942393.6 6437653.5)",11687,16355,16304,0
"LINESTRING (945442.6 6436730.3,945443.2 6436724.3)",11688,2629,16357,0
"LINESTRING (942604.2 6437598.1,942595.0 6437604.3,942585.2 6437610.9,942582.7 6437613.5,942580.7 6437618.9,942578.1 6437622.6,942570.9 6437629.0,942564.6 6437634.7,942559.5 6437643.4,942555.0 6437652.5,942553.0 6437655.5)",11689,16358,16356,0
"LINESTRING (942644.1 6437326.1,942641.9 6437316.9,942630.2 6437305.0,942598.6 6437279.5)",11690,16359,16360,0
"LINESTRING (942641.7 6437269.4,942649.8 6437268.0,942657.5 6437269.7,942672.8 6437276.1,942685.8 6437277.0)",11691,16361,16362,0
"LINESTRING (942934.0 6437027.2,942924.8 6437031.6,942913.1 6437031.6,942900.9 6437026.2,942886.8 6437021.0,942872.1 6437021.4,942858.0 6437025.6,942828.6 6437045.6,942814.9 6437058.1,942806.1 6437067.7,942785.3 6437073.2,942773.4 6437074.8,942760.9 6437074.8,942760.0 6437068.6,942763.9 6437062.0,942779.1 6437057.6,942792.5 6437052.8,942806.3 6437044.2,942833.0 6437010.5,942870.2 6436956.2,942884.1 6436935.0,942886.5 6436932.0,942889.1 6436925.8,942889.8 6436920.0,942890.0 6436913.1,942887.3 6436902.3,942883.9 6436889.0,942873.3 6436867.1,942869.1 6436861.3)",11692,16363,16364,0
"LINESTRING (942963.5 6437072.7,942970 6437051,942972.6 6437033.6,942976.4 6437017.3,942989.2 6437004.9,943009 6436997,943022 6436988,943024.3 6436977.8,943017.3 6436967.6,943003.3 6436969.0,942987.0 6436975.1,942975.0 6436983.4,942959.9 6437000.7,942946.8 6437016.4,942935.3 6437026.7,942934.0 6437027.2)",11693,16365,16363,0
"LINESTRING (942651.3 6437537.8,942628.2 6437564.7,942626.1 6437567.5)",11694,16366,16367,0
"LINESTRING (942771.3 6437423.5,942805.9 6437405.7,942859.6 6437375.8,942892.9 6437357.5,942949.4 6437325.3,942993.3 6437299.6,943020.0 6437285.9,943035.5 6437280.1,943047.0 6437277.3,943061.7 6437275.9,943087.6 6437281.7,943123.7 6437292.2,943162.1 6437300.9,943185.8 6437306.2,943195.2 6437305.9)",11695,16368,16369,0
"LINESTRING (942609.0 6437395.4,942600.4 6437393.6,942591.1 6437388.5,942578.3 6437385.6,942557.6 6437384.7,942529.2 6437385.8,942516.0 6437383.9,942503.7 6437376.5,942481.0 6437344.3,942463.3 6437323.3,942454.0 6437317.5,942436.5 6437313.3,942425.1 6437307.8,942420.8 6437303.2,942421.5 6437297.8,942428.0 6437293.8,942444.7 6437293.9,942475.8 6437294.2,942495.7 6437294.6,942522.8 6437296.3,942546.0 6437296.1,942559.5 6437294.7,942598.6 6437279.5)",11696,16370,16360,0
"LINESTRING (942759.6 6437431.9,942754.9 6437435.3,942736.1 6437451.5,942700.3 6437485.7,942667.0 6437514.5,942639.8 6437537.1,942627.9 6437551.6,942610.8 6437568.6,942599.8 6437578.5)",11697,16371,16372,0
"LINESTRING (942771.3 6437423.5,942765.7 6437416.6,942754.4 6437403.5)",11698,16368,1060,0
