link_id,source,target,direction,wkt
troncon_de_route.TRONROUT0000000002223290,42,26,0,"LINESTRING(2.5512514 48.6405524,2.55203516 48.6404807,2.55226871 48.64046988,2.55245328 48.64047147,2.55256721 48.6404809,2.5530551 48.64056638,2.55331946 48.64060335)"
troncon_de_route.TRONROUT0000000002223295,43,34,0,"LINESTRING(2.54650331 48.63886675,2.54653178 48.63902697,2.54657644 48.63919894,2.54663828 48.63926754,2.54674804 48.63928775,2.54686502 48.63925761,2.54698746 48.63922479,2.54712207 48.63919652,2.54727018 48.63917729,2.54762883 48.63913818,2.54769135 48.63912762,2.54782458 48.63910204,2.54794846 48.63905933,2.54806422 48.6390139,2.54819471 48.63899101,2.54831564 48.63897527,2.5484217 48.63895229)"
troncon_de_route.TRONROUT0000000002223341,44,45,0,"LINESTRING(2.54216397 48.64013644,2.54204497 48.64024213,2.54181664 48.64043194,2.54165112 48.64057883)"
troncon_de_route.TRONROUT0000000002223343,46,47,0,"LINESTRING(2.54133337 48.63904664,2.54098232 48.63930255,2.54091859 48.63945072,2.54089598 48.63955228,2.54092266 48.63976017,2.54095024 48.63986552,2.54096468 48.63992044,2.54098616 48.63994751,2.54112042 48.63996062,2.54124928 48.63996921,2.54138754 48.63998953,2.54151606 48.6400386,2.54162697 48.64008221,2.54168911 48.64011573,2.54169418 48.64015712,2.54154122 48.64026448,2.54155043 48.64029779)"
troncon_de_route.TRONROUT0000000002223346,48,49,0,"LINESTRING(2.54485109 48.63938845,2.5445266 48.63955632,2.54435113 48.63960063,2.54415818 48.63962597,2.54396418 48.63961534,2.54376233 48.63957229,2.54365945 48.63954041)"
troncon_de_route.TRONROUT0000000002223356,50,48,0,"LINESTRING(2.54516644 48.63917828,2.54500681 48.63927391,2.54485109 48.63938845)"
troncon_de_route.TRONROUT0000000002223357,51,52,0,"LINESTRING(2.54323235 48.63933549,2.54319068 48.63928855)"
troncon_de_route.TRONROUT0000000002223359,52,53,0,"LINESTRING(2.54319068 48.63928855,2.54370759 48.63884528)"
troncon_de_route.TRONROUT0000000002223361,54,55,0,"LINESTRING(2.54630141 48.6388291,2.5456782 48.63901292)"
troncon_de_route.TRONROUT0000000002223371,49,56,0,"LINESTRING(2.54365945 48.63954041,2.54336507 48.63983522)"
troncon_de_route.TRONROUT0000000002223372,50,57,0,"LINESTRING(2.54516644 48.63917828,2.54507804 48.63904301,2.54504624 48.63895384)"
troncon_de_route.TRONROUT0000000002223373,58,46,0,"LINESTRING(2.54181596 48.63833969,2.54126883 48.63882332,2.54122052 48.63891488,2.5412443 48.63898873,2.54133337 48.63904664)"
troncon_de_route.TRONROUT0000000002223378,59,60,0,"LINESTRING(2.54195439 48.63895998,2.5425558 48.63847746)"
troncon_de_route.TRONROUT0000000002223379,61,62,0,"LINESTRING(2.54443222 48.63886064,2.54434601 48.63894127,2.5442302 48.638993,2.54409028 48.63900685,2.54396157 48.63898028,2.54385349 48.63892319,2.54380485 48.63889782,2.54377243 48.63888061)"
troncon_de_route.TRONROUT0000000002223380,63,64,0,"LINESTRING(2.54248027 48.63904386,2.54232861 48.63915841)"
troncon_de_route.TRONROUT0000000002223383,55,50,0,"LINESTRING(2.5456782 48.63901292,2.54538977 48.63909277,2.54516644 48.63917828)"
troncon_de_route.TRONROUT0000000002223386,55,65,0,"LINESTRING(2.5456782 48.63901292,2.5455324 48.6387668,2.54540116 48.63856301,2.54530372 48.63837374,2.54525025 48.63827999)"
troncon_de_route.TRONROUT0000000002223387,48,66,0,"LINESTRING(2.54485109 48.63938845,2.54502737 48.63956273,2.54517973 48.63952284)"
troncon_de_route.TRONROUT0000000002223388,67,59,0,"LINESTRING(2.54162961 48.63916112,2.5416622 48.63915945,2.54170301 48.63914881,2.5417398 48.63913186,2.54195439 48.63895998)"
troncon_de_route.TRONROUT0000000002223392,68,55,0,"LINESTRING(2.54598202 48.63950521,2.545974 48.63949078,2.54589514 48.63935106,2.5457706 48.63915719,2.5456782 48.63901292)"
troncon_de_route.TRONROUT0000000002223399,64,59,0,"LINESTRING(2.54232861 48.63915841,2.54223003 48.63910137,2.54205041 48.63899993,2.54195439 48.63895998)"
troncon_de_route.TRONROUT0000000002223413,64,69,0,"LINESTRING(2.54232861 48.63915841,2.54219997 48.63927935)"
troncon_de_route.TRONROUT0000000003407621,70,71,0,"LINESTRING(2.54063078 48.64270582,2.5405133 48.64263611,2.54029175 48.64251652,2.54000801 48.6423688)"
troncon_de_route.TRONROUT0000000003407627,72,73,0,"LINESTRING(2.53784503 48.64383742,2.5381077 48.64360456,2.53889943 48.6429438,2.53900996 48.64287766,2.53928044 48.64268172,2.53945413 48.64253307,2.53958939 48.64243195,2.53971221 48.64235687)"
troncon_de_route.TRONROUT0000000003409259,71,74,0,"LINESTRING(2.54000801 48.6423688,2.53992958 48.64233522)"
troncon_de_route.TRONROUT0000000003409260,75,76,0,"LINESTRING(2.53990506 48.6421903,2.53994784 48.64211041,2.54025177 48.64181385,2.54045853 48.64160866,2.54072388 48.64137671,2.54088797 48.64123882)"
troncon_de_route.TRONROUT0000000003409261,74,73,1,"LINESTRING(2.53992958 48.64233522,2.539905 48.64235131,2.53986142 48.64236824,2.53980299 48.64237611,2.53975282 48.64236962,2.53971221 48.64235687)"
troncon_de_route.TRONROUT0000000003409262,73,77,1,"LINESTRING(2.53971221 48.64235687,2.53968123 48.64232976,2.53965706 48.64230088,2.53965052 48.64227207,2.53965762 48.64223702)"
troncon_de_route.TRONROUT0000000003409263,77,75,1,"LINESTRING(2.53965762 48.64223702,2.53972049 48.64218779,2.53977898 48.64217362,2.53985363 48.64217391,2.53990506 48.6421903)"
troncon_de_route.TRONROUT0000000003409264,75,74,1,"LINESTRING(2.53990506 48.6421903,2.53993749 48.64220752,2.53996576 48.64223371,2.53997493 48.64227153,2.53995832 48.64230834,2.53992958 48.64233522)"
troncon_de_route.TRONROUT0000000003409266,78,79,0,"LINESTRING(2.53818719 48.64151802,2.53823593 48.64153261,2.53857637 48.64171382,2.53901294 48.6419233)"
troncon_de_route.TRONROUT0000000003409267,79,80,0,"LINESTRING(2.53901294 48.6419233,2.53944764 48.64157417,2.53963506 48.64140669,2.53966378 48.64138252,2.53980187 48.64126791,2.5398443 48.6412276)"
troncon_de_route.TRONROUT0000000003409272,81,78,0,"LINESTRING(2.53662928 48.64271281,2.53671087 48.64269604,2.53676952 48.64266389,2.53681603 48.64262359,2.53712246 48.64235403,2.53768724 48.64187769,2.53802923 48.64157678,2.53809754 48.64152667,2.53814516 48.64151336,2.53818314 48.64151621,2.53818719 48.64151802)"
troncon_de_route.TRONROUT0000000003409273,82,79,0,"LINESTRING(2.5372283 48.64343204,2.53728158 48.64339267,2.53745942 48.64323685,2.53760859 48.64309801,2.53785872 48.64290199,2.5381527 48.64265846,2.53838514 48.64246597,2.53873254 48.64216688,2.53901294 48.6419233)"
troncon_de_route.TRONROUT0000000039834665,83,2,1,"LINESTRING(2.55237058 48.64284045,2.55134152 48.64286357)"
