WKT,link_id,source,target,direction
"LINESTRING (666810.199818671 6838133.79957809,666814.899678571 6838119.6000258,666816.399755256 6838109.39994868,666817.099636825 6838105.00005066,666817.0 6838088.69996961,666815.899694241 6838048.59945319,666815.499886939 6838035.59968667,666812.500194356 6837957.80021191,666812.699672511 6837952.60048202,666814.199953395 6837939.19965811,666814.199884577 6837932.60024934,666813.9999961 6837922.0997024)",troncon_de_route.TRONROUT0000000002223261,38,30,1
"LINESTRING (666819.899973277 6837853.20030673,666819.599868936 6837867.50035942,666819.600237425 6837881.00045639,666819.99997798 6837908.19960736,666819.599893047 6837920.60023803)",troncon_de_route.TRONROUT0000000002223263,39,36,1
"LINESTRING (666813.600031113 6837843.20038657,666813.999778429 6837830.99988126)",troncon_de_route.TRONROUT0000000002223264,31,40,1
"LINESTRING (666947.900053939 6838128.19945021,666947.800268084 6838113.10006967,666943.700072954 6838033.60019135)",troncon_de_route.TRONROUT0000000002223270,10,35,1
"LINESTRING (666943.700072954 6838033.60019135,666939.499929795 6837932.89966293)",troncon_de_route.TRONROUT0000000002223275,35,41,0
"LINESTRING (666911.899739914 6838039.49987104,666921.800107572 6838038.00050416,666943.700072954 6838033.60019135)",troncon_de_route.TRONROUT0000000002223276,29,35,0
"LINESTRING (666937.300079979 6837913.09948839,666994.999759492 6837904.80054172,667012.20017139 6837903.50006168,667025.799715835 6837903.59973472,667034.19966358 6837904.6005202,667070.19966207 6837913.89996198,667089.700098723 6837917.8997929)",troncon_de_route.TRONROUT0000000002223290,42,26,0
"LINESTRING (666586.399968959 6837727.70052455,666588.599905765 6837745.50049096,666592.000188298 6837764.59988454,666596.600263019 6837772.2001389,666604.700117279 6837774.40050413,666613.299801696 6837771.00030485,666622.30007197 6837767.29986876,666632.19992405 6837764.10013759,666643.100211451 6837761.89971744,666669.500159986 6837757.40032267,666674.099829661 6837756.19995551,666683.899764486 6837753.29994833,666692.99990952 6837748.49952105,666701.500066085 6837743.40014384,666711.099866752 6837740.80039153,666719.999851861 6837738.99956578,666727.799632711 6837736.4001323)",troncon_de_route.TRONROUT0000000002223295,43,34,0
"LINESTRING (666267.499751454 6837870.69981405,666258.800298417 6837882.50045744,666242.100039398 6837903.69966523,666229.999833529 6837920.10054381)",troncon_de_route.TRONROUT0000000002223341,44,45,0
"LINESTRING (666205.599628652 6837749.89945948,666179.900061349 6837778.4998366,666175.300302867 6837794.99952163,666173.700084362 6837806.29985856,666175.800185754 6837829.40002688,666177.900308776 6837841.10021032,666178.999708581 6837847.19960604,666180.599797589 6837850.19983928,666190.500216679 6837851.59981298,666199.999852868 6837852.49961634,666210.199628691 6837854.69946349,666219.7003366 6837860.09969838,666227.900044794 6837864.90047994,666232.499986171 6837868.60039969,666232.900237609 6837873.19965275,666221.69986126 6837885.20053258,666222.399927918 6837888.89974226)",troncon_de_route.TRONROUT0000000002223343,46,47,0
"LINESTRING (666465.000190752 6837786.39949786,666441.199948386 6837805.19984267,666428.300072992 6837810.20047417,666414.100153373 6837813.09963138,666399.799790726 6837812.00040375,666384.900224745 6837807.30034846,666377.29973888 6837803.79997895)",troncon_de_route.TRONROUT0000000002223346,48,49,0
"LINESTRING (666488.10007686 6837762.90054653,666476.400012059 6837773.59970669,666465.000190752 6837786.39949786)",troncon_de_route.TRONROUT0000000002223356,50,48,0
"LINESTRING (666345.700019727 6837781.20051037,666342.599649758 6837775.99984681)",troncon_de_route.TRONROUT0000000002223357,51,52,0
"LINESTRING (666342.599649758 6837775.99984681,666380.400034719 6837726.50033546)",troncon_de_route.TRONROUT0000000002223359,52,53,0
"LINESTRING (666571.500106824 6837723.60034544,666525.700098027 6837744.3000366)",troncon_de_route.TRONROUT0000000002223361,54,55,0
"LINESTRING (666377.29973888 6837803.79997895,666355.799902414 6837836.70006344)",troncon_de_route.TRONROUT0000000002223371,49,56,0
"LINESTRING (666488.10007686 6837762.90054653,666481.500242868 6837747.89980053,666479.100138167 6837738.00007332)",troncon_de_route.TRONROUT0000000002223372,50,57,0
"LINESTRING (666240.700249242 6837671.09987065,666200.700163522 6837725.10011257,666197.199865304 6837735.29971639,666198.999651589 6837743.49960217,666205.599628652 6837749.89945948)",troncon_de_route.TRONROUT0000000002223373,58,46,0
"LINESTRING (666251.299769598 6837739.99967298,666295.300264522 6837686.10000342)",troncon_de_route.TRONROUT0000000002223378,59,60,0
"LINESTRING (666433.799992868 6837727.89966194,666427.499843391 6837736.90012692,666419.000273822 6837742.70031031,666408.700009485 6837744.29955941,666399.199738519 6837741.40047597,666391.199854647 6837735.09965165,666387.599812394 6837732.29991679,666385.200082937 6837730.40044422)",troncon_de_route.TRONROUT0000000002223379,61,62,0
"LINESTRING (666290.100090668 6837749.10016356,666278.999770341 6837761.89969523)",troncon_de_route.TRONROUT0000000002223380,63,64,0
"LINESTRING (666525.700098027 6837744.3000366,666504.500001753 6837753.29945053,666488.10007686 6837762.90054653)",troncon_de_route.TRONROUT0000000002223383,55,50,0
"LINESTRING (666525.700098027 6837744.3000366,666514.800232728 6837717.00015115,666505.000134366 6837694.40003359,666497.69963407 6837673.39981487,666493.699951427 6837663.0001131)",troncon_de_route.TRONROUT0000000002223386,55,65,0
"LINESTRING (666465.000190752 6837786.39949786,666478.099851695 6837805.69974822,666489.29990677 6837801.20041605)",troncon_de_route.TRONROUT0000000002223387,48,66,0
"LINESTRING (666227.50012519 6837762.49970849,666229.900235374 6837762.30011256,666232.900196539 6837761.09978779,666235.599899357 6837759.19968694,666251.299769598 6837739.99967298)",troncon_de_route.TRONROUT0000000002223388,67,59,0
"LINESTRING (666548.399905603 6837798.90026722,666547.799782194 6837797.29944901,666541.900187509 6837781.7998725,666532.600292289 6837760.29968711,666525.700098027 6837744.3000366)",troncon_de_route.TRONROUT0000000002223392,68,55,0
"LINESTRING (666278.999770341 6837761.89969523,666271.699763685 6837755.60053596,666258.400180997 6837744.39996708,666251.299769598 6837739.99967298)",troncon_de_route.TRONROUT0000000002223399,64,59,0
"LINESTRING (666278.999770341 6837761.89969523,666269.599697154 6837775.39980605)",troncon_de_route.TRONROUT0000000002223413,64,69,0
"LINESTRING (666156.200231129 6838157.00003163,666147.499950787 6838149.30055455,666131.100123765 6838136.1004395,666110.100211772 6838119.79977946)",troncon_de_route.TRONROUT0000000003407621,70,71,0
