WKT,link_id,source,target,direction
"LINESTRING (2.55311525 48.64131139,2.552989 48.64131362,2.55286816 48.64131856,2.55278395 48.64132544,2.55271057 48.64133506,2.55263312 48.64134467,2.55255429 48.64135786,2.55246726 48.64137643,2.55236661 48.64140123,2.55187696 48.64151993,2.55166881 48.64157671,2.55132897 48.6416366)",troncon_de_route.TRONROUT0000000002223253,"1441","1530","0"
"LINESTRING (2.54922636 48.63645291,2.54902016 48.63612741)",troncon_de_route.TRONROUT0000000002223254,"1531","1532","1"
"LINESTRING (2.54914647 48.63832178,2.54905833 48.63831245,2.54897718 48.63828066,2.54890702 48.63823182)",troncon_de_route.TRONROUT0000000002223255,"1524","1525","1"
"LINESTRING (2.54891649 48.63697615,2.54901037 48.63694862,2.54946068 48.63682349)",troncon_de_route.TRONROUT0000000002223256,"1505","1516","1"
"LINESTRING (2.55117713 48.63670944,2.55116109 48.63683981,2.55112659 48.63690624,2.55107023 48.63698968,2.5510072 48.63705961,2.55097139 48.63712064,2.5509533 48.63717274,2.5509434 48.63721858,2.55094842 48.63726627,2.55098979 48.63734828,2.55103274 48.63740421,2.55107177 48.63744304)",troncon_de_route.TRONROUT0000000002223257,"1533","1534","0"
"LINESTRING (2.54985878 48.63787562,2.54997578 48.63784278)",troncon_de_route.TRONROUT0000000002223258,"1535","1536","0"
"LINESTRING (2.55193808 48.63834491,2.55199707 48.63843058,2.5520181 48.63850982,2.55198483 48.63859155,2.55190823 48.63866142,2.55179787 48.63871048,2.55165521 48.63872793,2.55150861 48.63873008,2.55136878 48.63873405,2.55122613 48.6387506,2.55107931 48.63877883,2.55092565 48.63881333,2.55076117 48.6388424,2.55058872 48.63885164,2.55046259 48.63884127)",troncon_de_route.TRONROUT0000000002223259,"1462","1537","0"
"LINESTRING (2.54965335 48.64061384,2.54965126 48.64069928,2.549652 48.64077035,2.54968867 48.6409261,2.5496965 48.64159356,2.54970043 48.64176718)",troncon_de_route.TRONROUT0000000002223260,"1538","1539","1"
"LINESTRING (2.54950926 48.64253103,2.54957415 48.64240355,2.5495953 48.64231188,2.54960514 48.64227234,2.54960505 48.64212572,2.54959322 48.64176497,2.5495888 48.64164802,2.54955411 48.64094808,2.54955722 48.64090132,2.54957862 48.64078086,2.54957913 48.6407215,2.54957723 48.64062704)",troncon_de_route.TRONROUT0000000002223261,"1540","1509","1"
"LINESTRING (2.54890702 48.63823182,2.5487931 48.6382215,2.54871439 48.6382203,2.54863294 48.63822269,2.54850795 48.63823751)",troncon_de_route.TRONROUT0000000002223262,"1525","1541","1"
"LINESTRING (2.54966264 48.64000761,2.54965746 48.64013622,2.54965642 48.64025765,2.54965974 48.64050232,2.54965335 48.64061384)",troncon_de_route.TRONROUT0000000002223263,"1542","1538","1"
"LINESTRING (2.54957791 48.63991734,2.54958428 48.63980762)",troncon_de_route.TRONROUT0000000002223264,"1510","1543","1"
"LINESTRING (2.54982634 48.63738707,2.54946068 48.63682349)",troncon_de_route.TRONROUT0000000002223265,"1528","1516","1"
