E,N
675803.905996102 6861133.81671795
675801.069261368 6861078.97317976
675806.494783008 6861023.66015338
675848.100225776 6860938.55811135
675867.957368915 6860904.51729454
675846.209069286 6860852.51049108
675752.596823058 6860711.61933262
675745.032197101 6860695.54450246
675749.760088324 6860669.0683116
675774.345122687 6860647.32001198
675809.331517742 6860651.10232495
675886.86893381 6860759.8438231
675927.528798333 6860813.74178305
675961.569615143 6860867.639743
676017.358731582 6860905.46287279
676026.814514029 6860945.17715906
676032.487983498 6861017.04110566
676023.977779295 6861069.99348737
675985.209071261 6861125.78260381
675922.80090711 6861141.85743397
675864.175055936 6861144.6941687
675826.351926147 6861143.74859046
